"","V1","V2","V3","V4"
"1",1,2,2,3
"2",2,2,3,1
"3",2,3,2,2
"4",2,1,2,3
"5",1,2,1,2
"6",2,2,1,3
"7",1,3,1,2
"8",1,1,1,3
"9",2,3,1,3
"10",1,1,2,2
"11",2,3,3,3
"12",3,1,3,1
"13",2,2,2,2
"14",1,3,3,3
"15",1,2,3,2
"16",3,1,2,2
"17",3,3,1,2
"18",1,3,3,1
"19",2,1,3,2
"20",1,1,2,1
"21",3,2,2,3
"22",3,3,3,2
"23",1,2,1,1
"24",3,2,1,1
"25",3,2,3,2
"26",1,1,3,3
"27",3,3,2,3
"28",3,2,3,3
"29",2,2,2,1
"30",1,3,2,1
"31",3,1,1,1
"32",3,1,1,3
"33",2,3,1,1
"34",2,1,3,1
"35",2,1,1,2
"36",3,3,2,1
