"","V1","V2","V3","V4"
"1",2,3,1,1
"2",3,2,2,1
"3",1,2,2,3
"4",1,1,3,2
"5",3,3,2,2
"6",3,3,3,1
"7",2,2,3,2
"8",2,3,2,3
"9",3,1,2,3
"10",3,3,1,3
"11",1,3,1,2
"12",1,1,1,2
"13",3,2,3,3
"14",1,1,2,1
"15",3,1,3,2
"16",3,2,1,1
"17",2,3,3,2
"18",1,2,3,1
"19",3,2,1,2
"20",2,3,3,3
"21",2,1,3,1
"22",1,1,1,3
"23",2,3,1,1
"24",3,2,3,1
"25",2,1,1,1
"26",2,2,1,3
"27",1,3,1,2
"28",2,1,3,3
"29",1,1,2,3
"30",1,3,2,1
"31",2,1,2,2
"32",1,2,2,2
"33",2,1,1,2
"34",1,2,1,1
"35",1,1,3,1
"36",3,1,2,1
"37",3,3,1,3
"38",2,3,3,1
"39",2,2,1,3
"40",3,2,3,3
"41",2,2,2,2
"42",3,3,2,2
"43",3,1,2,3
"44",1,2,3,3
"45",1,3,2,3
"46",3,1,1,2
"47",1,3,3,2
"48",2,2,2,1
