"","V1","V2","V3"
"1",1,1,1
"2",1,3,2
"3",1,3,1
"4",2,1,1
"5",3,3,1
"6",1,3,3
"7",1,2,2
"8",3,2,1
"9",3,3,2
"10",3,1,2
"11",3,3,1
"12",2,3,1
"13",2,2,3
"14",2,2,2
"15",3,1,2
"16",2,1,3
"17",3,2,2
"18",1,1,3
"19",3,2,1
"20",2,3,3
"21",1,1,2
"22",1,1,1
"23",2,3,2
"24",3,1,3
"25",2,2,1
"26",1,2,1
"27",1,2,3
"28",3,3,3
"29",2,1,1
"30",1,2,2
"31",1,3,1
"32",1,2,3
"33",2,2,1
"34",1,3,3
"35",2,2,2
"36",3,2,3
"37",3,2,3
"38",1,1,2
"39",3,3,2
"40",2,3,3
"41",3,1,1
"42",3,1,3
"43",2,3,2
"44",2,1,2
"45",2,1,3
