"","V1","V2","V3","V4","V5","V6"
"1",2,3,2,1,3,3
"2",2,2,1,3,2,3
"3",3,1,1,1,2,1
"4",1,1,2,2,1,3
"5",1,1,2,1,3,2
"6",3,1,2,3,3,3
"7",2,1,3,1,2,3
"8",2,3,1,3,3,1
"9",1,2,1,2,1,1
"10",3,3,1,2,3,2
"11",1,1,3,2,2,1
"12",1,3,2,3,2,2
"13",1,3,2,1,2,1
"14",3,1,1,3,1,2
"15",1,2,3,1,1,2
"16",1,2,1,1,3,3
"17",3,2,2,1,1,3
"18",3,2,2,2,3,1
"19",2,1,2,3,1,1
"20",1,1,1,3,2,3
"21",3,2,3,3,2,1
"22",2,2,2,2,2,2
"23",2,3,1,1,1,2
"24",3,3,3,1,2,2
"25",2,3,3,2,1,1
"26",2,2,3,3,1,3
"27",1,2,3,3,3,2
"28",2,2,3,1,3,1
"29",3,3,1,2,2,3
"30",1,3,3,2,3,3
"31",3,3,2,3,1,1
"32",2,1,1,2,3,2
"33",3,1,3,2,1,2
