"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,1,1,1,2,1,2,2
"2",3,3,1,2,1,2,3,1
"3",3,1,3,3,2,1,3,3
"4",1,1,1,2,2,2,1,3
"5",3,1,1,3,3,2,2,1
"6",3,3,1,1,1,3,2,3
"7",1,3,3,2,2,1,1,3
"8",1,2,1,3,1,1,3,2
"9",3,3,3,2,3,1,2,2
"10",2,2,2,3,1,1,1,1
"11",3,2,2,2,2,3,3,2
"12",3,1,2,3,1,3,1,2
"13",2,1,3,2,3,3,1,1
"14",1,1,2,1,3,3,3,3
"15",3,2,3,1,2,2,1,1
"16",2,2,1,2,3,2,3,3
"17",3,2,2,1,3,1,1,3
"18",2,1,3,1,1,2,3,2
"19",2,3,2,3,2,2,2,3
"20",1,2,3,3,3,2,2,2
"21",2,2,3,2,1,3,2,3
"22",1,3,2,1,1,2,1,2
"23",1,2,1,1,2,3,2,1
"24",1,1,2,2,1,1,2,1
"25",2,3,2,1,3,1,3,1
"26",1,3,3,3,2,3,3,1
"27",2,3,1,3,3,3,1,2
