"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",4,3,4,2,4,3,4,1,3
"2",2,3,3,2,2,4,1,4,1
"3",4,4,2,4,3,4,4,4,1
"4",3,1,3,3,4,4,3,3,4
"5",3,4,1,2,1,4,2,1,2
"6",1,4,3,1,4,2,1,1,4
"7",2,1,3,2,3,1,4,1,2
"8",4,1,1,2,3,2,2,4,4
"9",3,4,4,1,2,1,3,4,3
"10",1,4,4,3,3,3,2,3,2
"11",3,3,1,4,3,1,1,3,3
"12",4,2,4,3,4,1,1,2,1
"13",3,2,3,4,2,3,2,1,4
"14",1,2,2,1,3,4,3,2,3
"15",2,3,1,1,4,3,3,2,1
"16",4,1,2,1,2,3,1,3,2
"17",1,2,1,3,1,3,4,4,3
"18",3,2,4,1,1,2,4,3,1
"19",4,3,3,3,1,2,3,2,2
"20",1,1,1,4,2,1,3,1,1
"21",1,3,2,2,1,1,2,3,4
"22",2,2,2,4,4,2,2,4,2
"23",2,1,4,4,1,4,1,2,3
"24",2,4,2,3,2,2,4,2,4
