"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,4,3,1,2,3,3,2,3,3
"2",3,3,4,4,2,1,1,4,3,2
"3",4,3,2,1,3,1,3,3,3,1
"4",2,1,4,1,3,3,1,1,2,2
"5",1,2,2,2,2,3,1,2,1,1
"6",1,4,4,1,4,2,2,4,4,4
"7",1,3,4,2,3,2,4,1,1,3
"8",2,2,2,1,1,4,4,4,2,3
"9",1,1,3,2,1,1,2,3,3,3
"10",4,2,4,3,4,3,3,3,2,3
"11",2,2,3,3,3,1,4,2,4,4
"12",3,1,2,4,3,3,3,4,1,4
"13",4,4,1,2,2,1,4,1,2,4
"14",2,1,1,3,4,2,1,4,3,1
"15",1,2,3,4,4,4,3,1,4,1
"16",4,4,3,3,3,4,2,4,1,2
"17",1,4,2,4,4,2,4,3,2,2
"18",3,3,2,2,4,4,1,1,3,4
"19",2,4,1,4,3,4,1,2,4,3
"20",1,3,1,3,2,4,2,3,2,4
"21",4,2,3,1,1,2,1,3,1,4
"22",2,3,1,2,1,3,3,4,4,2
"23",3,3,3,4,1,2,2,1,2,1
"24",3,1,4,2,2,4,4,3,4,1
"25",4,1,1,4,1,3,4,2,3,2
"26",4,1,2,3,2,2,2,1,4,3
"27",3,2,1,1,4,1,2,2,1,2
"28",2,4,4,3,1,1,3,2,1,1
