"","V1","V2","V3","V4","V5"
"1",3,3,2,3,3
"2",3,1,2,2,3
"3",2,2,2,1,1
"4",3,1,2,1,2
"5",1,3,1,3,2
"6",1,3,2,1,1
"7",1,1,3,2,3
"8",3,1,3,2,2
"9",2,3,3,3,2
"10",2,1,3,1,3
"11",3,2,3,1,2
"12",1,3,2,2,3
"13",2,2,3,2,1
"14",2,3,1,1,3
"15",1,3,3,2,1
"16",3,2,3,2,1
"17",3,2,3,3,3
"18",2,1,2,2,2
"19",1,1,1,1,2
"20",3,3,1,2,2
"21",2,1,1,3,3
"22",1,2,3,3,1
"23",3,3,2,1,1
"24",1,1,1,2,1
"25",2,2,1,3,3
"26",1,1,3,3,2
"27",3,1,1,3,2
"28",1,1,2,1,3
"29",1,1,2,3,1
"30",2,3,1,2,1
"31",3,2,1,1,1
"32",3,3,3,3,2
"33",1,3,3,1,2
"34",1,2,1,1,2
"35",2,1,3,1,1
"36",2,2,2,3,2
"37",1,2,1,2,3
"38",2,3,1,1,2
"39",3,2,1,2,3
"40",1,2,2,3,3
"41",3,3,2,1,3
"42",2,2,3,1,3
"43",3,1,2,3,1
"44",3,2,1,3,1
"45",2,1,1,2,1
"46",1,2,2,2,2
"47",2,3,2,3,1
"48",2,3,3,2,3
