"","V1","V2","V3","V4","V5","V6"
"1",1,1,2,1,2,3
"2",3,1,2,2,3,1
"3",2,3,2,1,1,1
"4",2,3,2,1,3,3
"5",2,2,1,3,3,1
"6",2,3,1,3,1,2
"7",2,3,3,2,3,1
"8",3,2,1,2,1,1
"9",1,2,2,1,3,1
"10",1,3,2,3,3,2
"11",1,1,3,2,1,1
"12",1,1,1,2,3,2
"13",3,1,3,2,2,3
"14",2,3,3,3,2,3
"15",1,2,3,2,3,3
"16",3,2,3,1,2,1
"17",3,3,1,1,2,3
"18",3,1,2,1,1,2
"19",1,3,3,1,2,2
"20",2,1,1,2,1,3
"21",3,2,1,2,3,3
"22",1,2,1,1,1,2
"23",3,3,1,1,3,2
"24",1,3,2,2,1,3
"25",3,3,2,3,2,1
"26",1,2,1,3,2,3
"27",3,1,1,3,2,2
"28",2,1,1,1,2,1
"29",1,3,1,2,2,1
"30",2,1,3,3,2,1
"31",3,2,2,3,1,3
"32",2,1,3,1,3,2
"33",3,2,3,3,3,2
"34",2,2,2,2,2,2
"35",2,2,3,1,1,3
"36",1,1,2,3,1,1
"37",2,1,2,3,3,3
"38",3,3,3,2,1,2
"39",1,2,3,3,1,2
