"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,3,2,1,3,3,2,1,1,2,1,3,2,3,3,1,2,3,2
"2",1,3,3,2,1,2,1,3,3,1,1,2,3,3,1,2,2,2,3
"3",1,1,2,2,2,3,1,1,1,2,3,2,3,2,1,3,1,1,1
"4",1,2,2,1,3,1,1,3,3,2,1,1,1,1,2,2,3,1,2
"5",3,3,3,1,2,1,2,3,1,1,2,1,2,2,1,1,1,2,1
"6",3,2,1,3,2,3,2,1,3,1,1,2,2,1,2,1,1,1,3
"7",2,2,1,2,1,1,1,1,1,1,3,1,1,2,3,2,2,3,3
"8",2,2,3,1,3,1,2,2,3,3,3,2,2,3,3,3,2,1,3
"9",1,1,1,2,2,2,2,2,3,3,3,3,1,1,1,1,2,2,1
"10",2,3,1,3,3,2,2,1,1,3,2,1,3,1,1,2,3,2,3
"11",2,2,3,3,2,3,3,3,1,3,1,2,1,2,1,3,2,3,2
"12",3,1,3,2,3,2,3,1,3,2,2,1,1,3,2,2,1,3,1
"13",3,3,1,2,2,1,1,2,3,3,2,3,3,2,2,3,1,3,2
"14",3,1,2,1,1,1,3,1,2,2,1,3,2,2,1,3,3,2,3
"15",1,3,2,3,1,2,3,2,2,3,1,1,2,2,3,2,1,1,1
"16",2,3,2,1,1,3,2,2,2,1,3,2,1,1,2,3,3,3,1
"17",1,1,3,3,2,1,3,2,2,1,2,2,3,1,3,1,3,3,2
"18",3,2,2,2,3,3,3,3,2,2,3,3,3,1,3,2,1,2,3
"19",3,2,3,3,1,2,1,2,1,2,3,3,1,3,2,1,3,1,2
"20",2,1,1,1,1,3,3,3,2,3,2,1,3,3,2,1,2,1,2
"21",2,1,1,3,3,2,1,3,2,1,2,3,2,3,3,3,3,2,1
