"","V1","V2","V3","V4"
"1",3,4,1,4
"2",2,4,3,2
"3",4,1,4,3
"4",5,3,1,1
"5",5,3,4,3
"6",2,4,4,4
"7",4,5,4,4
"8",1,5,3,3
"9",1,4,2,1
"10",5,5,5,1
"11",3,2,5,3
"12",5,5,1,3
"13",4,2,1,4
"14",1,1,3,4
"15",4,2,3,1
"16",1,3,4,1
"17",3,5,2,5
"18",2,5,1,2
"19",4,4,2,3
"20",3,2,2,2
"21",5,4,3,5
"22",5,1,3,2
"23",4,3,2,2
"24",1,1,1,3
"25",1,3,1,5
"26",3,5,3,1
"27",5,1,2,5
"28",2,1,5,1
"29",4,4,4,2
"30",5,2,5,4
"31",1,2,4,2
"32",2,4,5,3
"33",4,3,5,5
"34",3,1,1,1
"35",1,5,5,5
"36",2,2,2,4
"37",3,3,5,2
"38",3,1,4,5
"39",2,2,3,5
"40",2,3,2,4
