"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",20,24,1,2,3,19,14,22,15,23,24,12
"2",27,20,25,6,24,11,12,28,23,12,9,9
"3",7,17,19,10,8,3,10,3,18,28,22,4
"4",10,8,9,9,21,22,9,24,2,7,11,5
"5",12,4,24,24,19,5,20,5,3,13,25,13
"6",2,25,12,27,18,7,2,15,16,4,7,11
"7",11,28,14,12,22,29,29,13,22,16,28,7
"8",17,21,5,19,29,18,19,6,11,6,21,1
"9",8,16,2,28,7,12,28,20,6,8,17,21
"10",21,2,13,29,23,20,13,11,14,29,12,29
"11",9,13,21,17,25,17,15,1,26,1,1,19
"12",16,22,27,20,2,8,26,10,21,20,10,25
"13",24,14,8,23,26,2,5,23,19,15,26,20
"14",3,1,16,18,1,16,11,29,10,17,29,17
"15",22,3,11,13,4,4,22,17,25,2,15,6
"16",26,26,10,8,17,15,23,2,1,26,14,18
"17",25,27,17,25,9,23,8,7,28,9,19,16
"18",15,7,28,21,15,14,1,21,27,25,18,2
"19",6,19,7,22,14,24,21,27,24,27,4,14
"20",18,6,18,3,28,6,27,19,12,24,5,15
"21",28,9,23,15,16,26,25,25,17,5,23,24
"22",14,5,6,7,6,27,4,4,20,14,8,22
"23",5,23,26,14,27,25,6,18,7,22,16,23
"24",19,18,20,4,13,13,3,12,5,3,27,26
"25",4,10,4,5,20,10,18,14,29,19,20,27
"26",23,15,22,26,5,28,17,16,4,18,6,3
"27",29,11,3,16,12,9,7,9,8,21,2,8
"28",13,29,15,11,10,1,16,26,9,11,3,28
"29",1,12,29,1,11,21,24,8,13,10,13,10
