"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",13,8,10,12,12,1,9,2,1,1,7,3,1,12,21,13
"2",15,21,1,1,15,19,8,11,9,20,11,2,13,21,14,11
"3",21,9,11,21,13,21,21,1,11,13,21,21,10,9,13,8
"4",18,3,17,14,5,16,7,10,14,6,3,13,16,19,16,3
"5",10,20,5,11,4,10,15,3,17,3,13,19,19,18,6,15
"6",11,18,19,7,8,12,14,18,3,14,17,17,3,16,19,4
"7",4,10,16,2,9,20,2,16,10,2,8,20,9,8,4,14
"8",2,7,6,20,3,9,4,21,6,9,19,5,12,17,10,10
"9",1,15,9,6,21,8,5,5,21,12,2,15,6,14,12,7
"10",9,1,21,5,2,13,11,4,18,15,14,1,8,1,11,12
"11",3,11,12,13,11,17,18,19,20,17,6,6,20,13,20,18
"12",7,17,15,16,19,14,6,6,4,7,16,11,17,3,15,20
"13",17,13,4,17,6,6,3,14,15,18,12,16,5,5,17,17
"14",19,6,8,8,20,15,12,15,16,8,18,9,2,15,2,19
"15",6,4,18,18,16,5,17,9,8,19,10,14,7,20,5,16
"16",5,5,2,4,14,3,19,13,13,5,15,12,15,6,18,5
"17",20,16,13,3,1,4,20,12,5,11,1,10,14,10,9,21
"18",16,19,20,19,17,7,13,17,19,4,9,4,11,7,8,6
"19",14,2,7,10,18,11,10,20,2,16,4,18,18,2,7,9
"20",12,12,14,9,10,2,1,7,12,21,20,8,21,11,1,1
"21",8,14,3,15,7,18,16,8,7,10,5,7,4,4,3,2
