"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",6,22,23,8,19,17,23,9,9,6,8,6,12,11,11,4,21,5,8,19,6,8,8,23,4,6
"2",23,21,24,9,17,9,20,22,19,18,20,8,22,6,19,22,10,20,23,22,24,18,21,22,5,10
"3",24,1,16,3,16,19,17,15,11,20,18,26,14,2,2,11,17,25,16,4,12,2,2,16,2,26
"4",15,20,6,7,21,24,13,17,24,24,22,9,23,21,7,5,24,17,7,7,17,23,10,3,16,5
"5",18,6,9,4,10,25,25,11,18,7,19,22,18,12,16,25,6,4,11,15,19,3,25,9,24,3
"6",16,3,21,25,25,18,8,3,10,19,17,10,25,24,25,24,11,8,20,12,5,13,4,11,11,4
"7",22,19,4,23,26,22,24,21,20,4,10,19,4,18,21,7,7,16,18,3,4,10,19,17,10,15
"8",21,10,11,24,7,20,4,10,21,11,6,3,8,4,5,13,3,18,4,21,22,17,3,12,9,8
"9",1,11,12,12,1,26,14,26,15,17,2,14,27,26,18,15,13,26,2,27,2,1,13,26,14,13
"10",11,8,20,22,23,5,5,24,22,16,23,17,6,5,9,17,23,11,3,10,9,4,22,19,20,9
"11",26,25,15,14,27,14,2,14,2,1,1,27,26,14,13,26,26,14,1,13,27,15,17,13,12,24
"12",17,7,10,16,22,8,22,4,8,10,21,18,9,23,22,10,20,24,6,24,23,20,7,21,23,19
"13",20,18,7,11,4,7,10,6,7,23,9,20,5,22,10,20,22,23,22,18,11,9,24,7,6,7
"14",12,12,22,10,12,4,11,5,12,8,7,24,24,3,23,3,2,22,10,6,7,24,18,6,18,11
"15",10,23,17,17,6,23,19,20,5,22,25,21,7,8,24,18,8,7,5,17,10,22,11,4,8,21
"16",5,4,3,5,24,16,9,23,4,5,13,7,13,9,4,21,12,19,21,23,8,21,16,5,22,18
"17",25,16,26,13,11,13,15,27,1,13,14,16,3,27,1,12,1,2,17,11,15,26,12,25,25,2
"18",14,2,25,26,2,11,16,18,25,2,15,15,16,25,12,2,18,10,13,25,14,16,26,2,1,25
"19",4,26,13,21,9,1,26,12,26,12,16,25,19,16,3,23,19,15,26,16,3,25,1,15,17,12
"20",27,27,1,15,13,12,1,2,17,26,27,12,15,1,14,1,14,1,14,26,1,12,15,14,27,16
"21",9,24,18,19,5,21,7,8,6,9,24,5,20,19,8,9,9,21,19,8,20,5,23,20,19,20
"22",2,15,27,27,15,15,27,13,14,27,11,2,1,13,15,27,16,27,12,1,26,11,14,1,26,14
"23",19,9,8,20,8,6,21,25,3,15,5,4,21,7,20,6,25,6,24,9,18,7,9,8,15,17
"24",8,5,5,18,18,3,18,7,16,25,3,11,17,17,6,19,5,3,9,5,16,19,20,24,7,23
"25",3,14,2,2,3,2,3,19,13,3,26,13,11,15,26,16,15,13,15,2,25,14,6,18,3,1
"26",13,13,14,1,14,27,12,1,27,14,12,1,2,10,27,14,27,12,27,14,13,27,27,27,13,27
"27",7,17,19,6,20,10,6,16,23,21,4,23,10,20,17,8,4,9,25,20,21,6,5,10,21,22
