"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",22,18,20,20,13,11,29,26,4,29,11,7,26,3,13,3,22,3,24,19,4,27,14,3,20,14,18
"2",20,20,7,23,18,7,5,22,24,12,18,5,5,24,9,22,8,7,5,6,7,22,27,9,19,4,10
"3",26,5,26,19,11,23,23,21,22,10,14,23,22,27,10,13,10,10,9,24,6,5,4,25,7,7,24
"4",29,30,28,2,1,16,17,29,15,16,29,13,15,1,2,17,30,13,1,15,16,1,29,17,17,16,1
"5",6,25,21,6,20,13,7,20,10,9,21,12,20,28,7,5,6,12,26,13,22,8,6,8,25,28,25
"6",5,23,10,12,5,8,24,8,14,27,8,11,6,22,25,6,11,5,4,26,12,11,9,23,13,21,4
"7",17,28,14,28,6,3,2,28,29,20,23,29,29,16,28,12,15,17,29,2,17,14,2,30,15,15,15
"8",13,3,5,4,10,18,21,16,3,11,19,2,8,4,11,20,13,16,27,3,13,26,3,26,4,25,11
"9",18,19,3,11,16,27,27,9,25,28,28,18,25,18,12,29,5,23,25,18,5,3,22,19,22,26,13
"10",2,1,16,29,2,28,15,3,20,15,15,15,19,14,16,2,3,11,28,17,29,29,30,13,16,3,2
"11",4,7,6,24,26,19,14,23,18,24,24,26,4,13,5,9,28,6,15,20,14,19,20,29,28,22,26
"12",15,17,15,15,30,30,30,30,1,1,30,16,1,19,30,16,1,1,13,14,30,13,16,16,1,11,17
"13",1,13,2,17,3,2,13,17,12,2,2,28,14,2,17,19,2,18,14,12,3,2,18,1,14,17,30
"14",8,22,23,21,25,10,22,7,21,8,22,8,9,7,20,8,24,26,22,8,9,6,23,22,8,5,21
"15",9,24,8,22,19,25,10,5,5,23,12,22,27,8,8,23,25,9,10,9,20,7,7,11,5,9,8
"16",10,12,13,25,4,4,20,11,7,4,25,9,24,20,4,26,18,28,3,22,26,21,12,21,26,12,19
"17",21,21,4,13,9,26,8,18,26,7,17,6,23,11,26,7,26,19,7,28,23,24,19,12,6,23,27
"18",30,29,12,30,17,14,18,2,2,17,16,30,10,30,15,14,14,29,17,29,15,18,28,2,2,29,20
"19",23,9,22,8,7,20,4,6,6,26,27,21,7,9,24,11,7,22,8,11,11,20,10,10,23,6,23
"20",19,6,24,26,8,22,11,13,11,21,4,4,11,25,27,27,20,4,19,7,24,4,24,18,18,24,22
"21",12,15,29,3,15,1,12,12,30,30,9,14,2,15,3,30,17,14,30,30,19,16,15,14,3,2,29
"22",3,4,25,5,21,9,28,19,19,25,20,24,28,26,23,18,19,20,6,10,21,23,25,4,9,18,12
"23",28,2,18,16,27,5,3,10,17,3,26,19,17,12,19,28,23,2,21,23,10,15,8,7,11,27,3
"24",27,27,17,10,22,12,25,4,23,13,6,20,18,6,18,25,12,8,11,4,28,28,17,27,27,19,28
"25",24,10,11,14,12,17,26,14,27,5,7,27,3,21,6,4,27,24,20,5,25,10,11,6,21,13,5
"26",14,16,30,18,29,29,1,15,13,18,3,17,16,17,1,1,16,30,2,1,2,30,13,20,12,30,14
"27",25,8,9,7,24,6,6,24,8,22,5,10,21,10,14,10,9,25,18,21,27,9,26,28,10,10,9
"28",11,14,27,27,23,21,19,25,28,19,13,3,13,5,21,21,4,27,12,27,18,12,5,5,29,20,7
"29",16,11,1,1,28,15,16,1,16,14,1,1,30,29,29,15,29,15,16,16,1,17,1,15,30,1,16
"30",7,26,19,9,14,24,9,27,9,6,10,25,12,23,22,24,21,21,23,25,8,25,21,24,24,8,6
