"","V1","V2","V3","V4","V5","V6","V7"
"1",4,10,14,13,16,19,18
"2",8,20,6,14,7,2,13
"3",17,19,13,17,13,12,2
"4",3,15,17,20,10,6,7
"5",20,6,12,11,11,4,20
"6",6,13,10,4,17,3,3
"7",2,3,5,6,12,8,16
"8",14,8,18,5,8,18,4
"9",7,5,19,1,14,13,12
"10",16,4,9,19,5,17,14
"11",11,16,2,3,9,14,19
"12",12,1,15,9,6,1,8
"13",9,2,8,15,19,15,5
"14",15,17,16,7,20,9,15
"15",13,9,1,18,18,5,11
"16",1,18,11,8,3,16,10
"17",10,12,20,16,1,10,17
"18",18,11,7,2,2,7,6
"19",5,7,3,12,4,11,1
"20",19,14,4,10,15,20,9
