"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",7,6,26,8,22,19,26,21,7,23
"2",26,16,29,27,12,23,13,27,5,17
"3",1,17,10,4,13,21,18,6,20,30
"4",9,21,11,29,20,26,2,15,24,24
"5",21,27,23,5,16,29,24,23,26,13
"6",30,8,13,19,28,24,30,16,21,16
"7",25,2,2,11,17,16,12,2,27,21
"8",16,26,6,21,26,15,10,24,2,29
"9",24,23,18,2,29,3,15,13,16,26
"10",10,20,24,10,14,1,11,17,3,1
"11",15,10,25,14,2,30,9,8,14,28
"12",4,3,17,25,25,28,14,11,11,4
"13",17,1,19,1,5,14,21,14,1,12
"14",12,19,30,22,30,18,20,1,18,11
"15",2,14,21,15,27,12,6,28,30,18
"16",3,28,1,26,18,7,22,18,13,14
"17",6,9,8,20,7,4,5,5,6,15
"18",22,5,27,18,19,6,1,19,19,9
"19",19,13,7,28,4,20,16,20,29,2
"20",18,29,14,9,23,22,4,4,8,8
"21",28,25,20,24,10,13,8,7,22,5
"22",14,15,5,6,24,5,27,9,25,6
"23",13,4,15,23,9,2,23,26,23,27
"24",27,11,9,13,21,11,19,30,9,3
"25",23,22,4,16,8,27,25,10,4,19
"26",29,18,12,7,3,8,3,22,12,22
"27",20,12,22,30,15,9,28,3,10,25
"28",11,7,3,3,11,25,7,25,17,10
"29",5,24,16,17,1,17,29,29,15,7
"30",8,30,28,12,6,10,17,12,28,20
