"","V1","V2","V3"
"1",5,17,10
"2",2,13,13
"3",6,2,4
"4",11,16,3
"5",17,12,8
"6",4,4,16
"7",9,10,17
"8",7,8,11
"9",15,9,5
"10",16,3,12
"11",10,1,9
"12",3,11,2
"13",1,6,7
"14",8,14,6
"15",14,15,15
"16",12,7,14
"17",13,5,1
