"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",18,7,7,3,15,17,6,16,5,6
"2",22,11,19,22,10,6,1,10,7,9
"3",8,16,20,6,22,22,11,11,2,10
"4",17,5,18,16,18,16,14,17,19,18
"5",16,20,17,4,5,14,19,8,11,2
"6",13,17,14,14,12,18,3,1,21,4
"7",19,18,8,20,19,10,18,3,9,15
"8",21,9,12,9,2,20,10,4,14,22
"9",20,15,5,7,7,5,12,20,20,7
"10",7,10,3,5,13,12,22,9,22,17
"11",15,1,2,12,21,1,7,7,13,11
"12",3,22,1,11,11,19,16,18,8,13
"13",9,2,9,21,8,21,20,14,15,8
"14",5,14,6,17,6,15,5,6,4,19
"15",12,6,4,15,1,9,15,12,1,3
"16",6,19,16,18,3,2,9,15,18,12
"17",1,12,11,19,20,13,8,22,12,1
"18",10,3,22,8,4,11,4,21,10,16
"19",4,8,21,10,16,7,17,5,17,5
"20",11,21,10,1,17,8,2,13,16,20
"21",2,4,13,2,9,4,13,2,6,14
"22",14,13,15,13,14,3,21,19,3,21
