"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",30,14,17,1,17,1,1,16,1,15,17,29,16,30,30,1,1,30,2,15,16,16,16,16,29,14,30,16,30
"2",17,30,28,27,28,28,13,22,9,3,18,28,18,2,28,25,21,16,17,13,3,12,3,1,18,12,12,19,22
"3",8,20,21,25,5,5,8,21,14,24,10,8,20,12,24,13,13,8,27,24,10,28,23,4,28,26,20,28,20
"4",13,18,18,12,16,29,30,30,30,13,16,2,17,15,29,17,2,1,30,1,18,15,30,13,1,16,1,1,14
"5",2,19,30,17,1,14,3,2,16,14,29,15,2,16,17,15,16,14,3,16,30,30,1,12,16,1,2,2,29
"6",12,21,23,5,20,19,23,23,12,21,25,12,24,21,22,22,22,25,4,8,25,26,7,27,8,27,22,24,10
"7",19,26,25,21,12,7,25,11,4,18,13,7,22,20,4,5,9,4,9,21,5,8,5,24,5,20,11,11,26
"8",3,29,1,16,27,16,17,28,13,16,1,30,15,14,13,2,10,17,15,28,28,17,29,30,2,2,15,30,18
"9",21,27,5,7,26,17,12,7,8,12,22,9,4,18,19,19,4,9,21,27,26,7,10,5,25,24,24,9,9
"10",10,10,24,9,8,25,21,5,6,8,19,20,8,7,10,8,11,24,24,6,23,10,22,22,26,25,10,25,23
"11",7,24,10,8,19,4,14,13,5,5,5,10,25,9,9,4,23,27,25,10,14,23,13,6,13,10,4,4,7
"12",29,1,15,18,14,30,15,29,2,17,14,3,1,1,3,14,29,15,1,30,17,29,17,15,17,30,14,15,2
"13",14,13,2,29,2,18,2,15,3,29,21,19,21,3,2,28,15,2,22,9,29,19,15,20,3,13,28,14,13
"14",4,28,8,19,9,9,29,9,27,19,11,27,7,5,27,11,27,13,10,4,13,14,8,19,22,18,27,18,3
"15",24,8,19,13,22,12,10,25,21,26,9,18,26,6,11,9,6,7,5,5,24,5,4,8,23,8,7,22,12
"16",23,22,6,4,7,24,7,10,22,23,6,5,23,11,25,26,24,22,12,20,22,11,25,23,19,7,9,13,25
"17",9,4,27,3,18,6,6,4,19,10,12,26,14,19,6,27,26,5,13,19,20,13,28,2,4,19,17,20,4
"18",25,25,26,26,21,8,24,20,23,25,20,24,9,26,7,21,17,20,23,22,21,22,21,21,27,11,8,6,5
"19",16,3,9,2,25,3,26,18,24,7,28,4,11,4,12,18,14,3,18,17,11,27,12,26,21,6,21,21,27
"20",5,11,20,10,4,21,27,24,7,4,4,17,19,25,14,24,19,10,6,25,8,6,19,18,24,3,26,5,11
"21",15,2,29,20,29,26,5,14,29,28,2,14,12,17,16,3,20,19,28,18,15,3,11,28,14,28,29,3,16
"22",11,6,4,28,23,23,9,12,18,6,23,21,27,22,23,10,8,12,7,14,6,24,26,25,20,22,6,10,6
"23",28,16,16,14,3,13,16,3,28,1,15,16,29,13,15,29,3,29,29,29,2,18,2,29,15,17,18,23,1
"24",6,12,7,6,10,20,11,26,25,22,7,25,6,27,5,20,5,21,20,12,4,25,6,9,11,23,13,12,24
"25",18,7,12,23,11,10,28,27,20,11,27,23,28,10,20,12,28,28,19,23,27,4,18,7,10,21,19,7,28
"26",22,5,22,24,24,11,20,6,10,20,8,11,5,8,21,23,7,26,11,7,7,21,27,11,7,5,25,8,19
"27",20,23,14,22,6,27,4,19,26,9,26,6,10,23,8,7,12,23,8,11,12,9,20,3,6,9,23,26,8
"28",27,17,3,30,15,2,19,17,17,2,3,13,3,28,18,30,18,11,14,3,19,2,14,17,12,29,3,29,21
"29",26,9,11,11,13,22,22,8,11,27,24,22,13,24,26,6,25,6,26,26,9,20,9,10,9,4,5,27,15
"30",1,15,13,15,30,15,18,1,15,30,30,1,30,29,1,16,30,18,16,2,1,1,24,14,30,15,16,17,17
