"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",11,16,16,4,2,20,20,12,21,21,13,13
"2",5,15,3,15,13,3,10,13,1,22,17,15
"3",15,19,8,17,18,17,3,21,12,19,7,8
"4",14,1,21,8,9,10,8,9,7,20,2,18
"5",21,17,6,2,21,11,9,10,17,8,18,19
"6",2,8,10,6,16,16,16,3,11,16,21,21
"7",19,9,18,16,14,18,11,2,20,3,5,14
"8",3,14,15,3,6,4,4,5,9,7,6,7
"9",1,12,22,20,10,13,7,16,19,14,19,5
"10",4,6,7,14,4,9,22,20,18,9,8,17
"11",16,3,5,18,7,19,17,11,8,6,20,6
"12",13,21,19,9,8,5,14,22,13,2,22,12
"13",20,7,12,1,5,15,12,19,2,17,10,4
"14",12,2,9,7,15,2,5,14,22,5,12,2
"15",6,22,4,10,11,22,13,8,15,12,1,1
"16",17,18,20,13,17,8,21,4,4,11,14,3
"17",8,4,14,22,22,6,15,6,16,18,9,9
"18",10,20,11,21,3,14,6,7,3,4,11,20
"19",22,13,13,19,12,1,18,17,10,13,3,22
"20",7,5,17,11,20,21,2,18,6,10,15,16
"21",9,11,1,5,19,12,19,15,5,1,4,10
"22",18,10,2,12,1,7,1,1,14,15,16,11
