"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,3,17,7,11,9,5,26,17,22,11,6,22,11
"2",9,27,14,25,2,18,11,2,21,17,14,19,21,1
"3",6,12,4,14,6,19,8,21,4,21,2,20,4,18
"4",19,25,23,21,17,11,16,7,3,23,3,5,8,12
"5",24,5,26,5,23,17,10,3,14,16,20,10,3,19
"6",10,16,1,2,14,14,3,6,27,7,7,3,13,20
"7",4,22,13,11,22,23,27,15,22,13,5,9,2,8
"8",8,17,18,1,1,13,25,14,7,27,21,15,11,26
"9",23,23,12,10,7,5,2,16,1,15,27,11,16,7
"10",22,18,20,17,26,27,4,23,26,26,16,17,14,15
"11",13,19,19,18,10,1,6,5,11,3,18,22,1,9
"12",7,14,22,13,20,22,9,11,6,9,23,2,27,5
"13",25,10,8,23,25,12,7,13,18,2,1,14,19,6
"14",5,20,5,24,24,2,14,18,12,18,17,8,24,24
"15",14,1,15,26,18,24,1,12,8,14,9,25,10,27
"16",15,13,24,3,21,3,23,20,15,19,6,24,17,2
"17",11,2,3,15,16,6,19,10,24,25,22,13,6,4
"18",26,21,6,6,12,21,18,8,13,24,10,27,26,14
"19",18,7,7,4,3,26,15,19,10,4,15,7,9,3
"20",16,11,10,19,9,25,24,4,19,20,25,4,18,22
"21",1,8,11,9,27,8,21,1,2,5,13,18,15,16
"22",12,24,27,16,13,20,20,27,9,1,8,12,20,21
"23",21,4,2,20,15,15,26,24,5,12,19,21,23,10
"24",20,6,21,12,4,4,13,9,23,11,4,16,25,25
"25",17,26,9,8,19,10,12,25,20,8,24,23,7,23
"26",3,9,25,22,8,16,17,17,25,6,26,26,12,13
"27",27,15,16,27,5,7,22,22,16,10,12,1,5,17
