"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",9,5,19,19,24,3,11,12,11,17,6,5,25,27,6,17,26,3,7,10,28,13,25,17
"2",2,17,14,28,2,29,2,16,2,2,11,18,28,29,14,19,16,28,15,14,15,28,1,16
"3",10,23,18,11,8,21,9,8,25,12,7,20,10,5,5,6,24,4,21,8,7,7,5,21
"4",15,29,28,29,17,18,17,1,16,10,3,29,16,14,16,27,15,15,1,2,16,1,29,1
"5",23,6,22,23,22,6,23,10,21,9,13,23,8,24,23,21,21,25,24,23,5,12,7,19
"6",20,25,21,18,10,12,21,13,28,14,26,3,12,12,3,20,3,27,6,13,26,24,3,9
"7",5,9,4,7,16,17,16,28,14,6,27,22,9,22,4,15,23,26,25,12,25,5,20,3
"8",12,24,24,21,5,5,12,18,10,22,22,24,26,11,21,7,7,23,23,21,23,6,22,22
"9",21,7,7,6,11,20,5,4,18,21,23,21,19,25,22,18,5,11,5,5,20,10,6,25
"10",16,14,29,1,18,1,1,2,15,1,29,2,15,15,15,2,29,16,19,18,14,29,14,28
"11",1,2,17,14,13,15,29,3,13,28,28,19,29,1,1,28,14,13,14,29,2,16,16,15
"12",3,21,20,5,27,27,15,17,27,8,19,4,20,21,26,26,4,5,18,20,11,8,19,12
"13",27,20,2,26,29,14,3,9,12,15,16,28,2,17,2,9,2,1,17,28,17,18,17,13
"14",26,28,15,13,12,9,27,27,17,3,14,13,21,28,7,12,8,12,27,3,8,20,28,24
"15",7,22,26,17,23,11,8,24,7,27,25,17,7,23,24,10,17,10,9,4,6,21,10,6
"16",11,8,23,8,21,23,25,23,4,7,4,26,11,10,13,14,6,8,10,22,24,23,11,26
"17",28,18,13,2,28,13,28,14,8,11,15,15,27,2,27,5,20,17,11,11,27,2,2,11
"18",24,27,11,10,20,22,4,22,3,18,20,12,13,9,12,22,25,24,4,24,3,11,26,20
"19",25,3,27,27,14,26,7,26,20,20,17,7,22,4,11,13,19,9,28,19,19,14,8,2
"20",18,13,10,4,26,4,10,20,22,24,5,25,24,8,9,24,10,22,20,9,9,27,13,7
"21",17,10,6,20,6,24,24,19,23,13,21,27,23,18,20,4,27,6,8,16,4,26,24,10
"22",8,4,12,12,9,7,6,11,24,4,12,14,6,3,25,11,9,19,2,25,18,19,27,4
"23",19,11,9,25,4,2,18,21,6,5,24,6,3,6,17,25,12,2,13,7,12,4,12,18
"24",4,15,5,24,19,10,19,25,26,25,9,10,17,19,10,3,13,18,3,27,13,3,4,27
"25",22,12,25,3,3,25,22,7,9,26,10,9,4,26,8,8,11,21,12,17,10,9,21,8
"26",6,19,8,22,25,28,26,5,19,23,18,8,5,7,18,16,18,20,22,6,22,25,23,23
"27",14,1,1,16,15,19,14,15,1,16,1,1,14,13,29,1,1,29,29,1,1,15,15,14
"28",13,26,3,9,7,8,20,6,5,19,8,11,18,20,19,23,22,7,26,26,21,22,9,5
"29",29,16,16,15,1,16,13,29,29,29,2,16,1,16,28,29,28,14,16,15,29,17,18,29
