"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",19,8,3,13,15,10,6,17,7,8,21,7,7,6,4,4,18,16,6,3
"2",17,19,14,16,20,3,17,8,9,16,5,18,4,20,8,8,12,5,4,6
"3",22,17,20,22,2,13,13,16,21,14,12,1,11,1,12,12,14,10,1,22
"4",3,6,6,8,16,7,7,19,18,17,6,15,13,5,17,7,4,6,5,17
"5",6,3,17,5,6,8,16,7,14,15,4,9,19,7,7,17,19,19,7,5
"6",12,22,11,10,1,12,10,22,13,1,1,10,22,22,2,2,1,12,11,10
"7",21,2,2,2,5,18,11,12,20,10,9,21,12,14,9,11,11,1,21,1
"8",16,5,19,21,19,4,9,14,15,9,16,17,17,15,3,18,6,17,17,16
"9",18,20,8,9,14,6,20,6,17,3,20,8,15,4,20,19,9,7,14,8
"10",7,14,18,3,8,2,4,18,6,19,18,3,10,19,13,13,7,8,16,4
"11",13,4,16,6,17,19,18,13,5,6,15,5,18,18,16,6,16,3,8,19
"12",2,15,10,17,9,20,19,15,3,7,14,19,14,9,14,15,3,18,3,2
"13",15,1,1,15,12,14,14,9,11,20,10,2,8,21,21,22,2,22,10,12
"14",5,7,7,18,4,5,15,4,4,5,8,6,5,10,6,9,8,9,19,20
"15",4,16,9,20,18,17,3,5,19,12,7,4,16,16,15,5,17,15,18,7
"16",8,21,5,1,21,11,21,21,12,13,13,13,6,13,11,14,21,21,20,21
"17",11,11,13,7,3,9,2,2,16,2,17,20,2,17,18,10,13,20,2,14
"18",9,18,4,14,7,16,5,3,8,18,19,16,20,12,5,20,15,4,9,18
"19",20,13,15,4,22,21,1,1,2,11,2,11,9,3,10,16,5,13,12,15
"20",10,9,21,19,11,15,8,20,10,4,3,14,3,8,19,21,20,2,15,9
"21",1,10,22,11,13,22,22,10,22,22,22,12,1,11,1,3,10,11,13,11
"22",14,12,12,12,10,1,12,11,1,21,11,22,21,2,22,1,22,14,22,13
