"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",8,8,1,14,2,2,6,14,9
"2",5,4,13,4,9,17,3,16,11
"3",14,3,3,2,17,9,7,11,5
"4",9,15,12,5,1,12,18,12,6
"5",2,11,17,1,4,7,8,10,16
"6",13,17,8,18,5,18,9,8,14
"7",12,16,15,7,12,3,10,17,2
"8",18,7,18,13,11,16,16,9,8
"9",7,9,2,6,13,15,12,4,18
"10",11,1,5,11,6,10,15,18,15
"11",4,5,10,9,16,1,17,7,13
"12",16,10,11,16,14,5,2,13,17
"13",17,13,6,3,8,4,14,2,10
"14",1,18,4,10,10,8,1,6,7
"15",10,14,16,12,18,11,5,1,12
"16",6,2,14,17,7,6,11,3,4
"17",3,12,7,15,15,14,13,15,3
"18",15,6,9,8,3,13,4,5,1
