"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",15,14,21,22,11,20,17,8,9,22,3
"2",6,18,19,7,2,17,11,3,17,20,13
"3",23,8,9,23,10,14,1,1,14,10,15
"4",5,11,10,11,22,5,3,21,10,23,16
"5",17,17,11,20,1,8,13,20,1,3,12
"6",10,6,5,13,3,3,21,4,6,12,4
"7",4,12,15,17,23,11,15,2,19,4,6
"8",8,16,4,19,15,21,20,15,22,9,17
"9",1,7,13,3,7,23,16,19,15,14,9
"10",13,15,2,4,17,2,6,7,16,2,11
"11",19,10,23,10,4,6,7,11,23,8,7
"12",21,13,1,5,5,12,14,16,7,21,20
"13",14,22,6,14,8,16,5,22,20,16,5
"14",22,21,17,16,19,4,23,13,13,17,10
"15",2,23,8,9,9,7,18,9,11,6,23
"16",11,5,20,21,12,1,10,18,18,15,22
"17",7,19,18,1,13,10,2,14,5,11,1
"18",9,1,16,15,6,18,4,12,8,1,19
"19",20,3,7,8,21,19,12,17,12,5,2
"20",3,4,3,18,16,13,9,10,2,19,8
"21",12,9,22,6,18,15,22,23,4,7,14
"22",18,20,14,12,20,22,8,5,3,13,21
"23",16,2,12,2,14,9,19,6,21,18,18
