"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",5,8,3,5,11,4,3,5,4,14,4,12,13
"2",4,13,13,13,3,5,13,3,10,2,5,11,10
"3",8,2,16,12,9,12,1,2,11,16,8,6,6
"4",16,4,10,10,13,2,7,9,7,3,7,16,1
"5",12,7,8,16,16,9,12,1,1,8,16,8,12
"6",15,16,11,6,7,15,5,7,6,6,6,3,15
"7",14,15,2,11,10,3,15,11,13,15,9,5,9
"8",3,9,7,7,14,11,11,6,16,7,1,2,2
"9",9,10,15,2,15,6,4,16,15,5,12,9,11
"10",13,12,6,4,2,10,6,4,12,11,14,13,3
"11",2,14,12,9,12,14,10,13,5,13,13,15,7
"12",7,1,1,1,8,16,16,8,8,1,11,10,8
"13",1,3,9,8,1,1,8,10,9,10,15,1,14
"14",6,11,4,15,5,8,2,14,3,4,10,4,4
"15",10,5,5,14,6,13,9,15,14,9,3,14,16
"16",11,6,14,3,4,7,14,12,2,12,2,7,5
