"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",22,23,21,11,20,5,8,10,23,18,19,4,5,24,5,7,9,7,16,6,18,7,21,18,8
"2",9,22,10,17,23,20,20,5,6,21,4,17,10,20,20,6,6,18,25,5,6,21,17,3,11
"3",27,2,11,1,13,13,13,14,2,14,25,1,25,15,25,12,26,11,12,2,14,26,26,2,17
"4",15,26,27,15,2,2,1,15,1,1,16,13,14,17,13,2,27,16,26,26,2,15,14,25,14
"5",11,16,3,16,3,3,27,3,15,26,10,2,12,16,26,26,25,2,10,15,11,2,11,14,10
"6",6,21,12,6,5,23,23,23,3,7,22,18,13,8,7,5,15,4,5,4,19,9,8,12,9
"7",18,7,7,23,11,10,18,22,20,5,8,21,23,23,18,3,16,19,8,8,9,5,23,22,5
"8",2,13,2,27,16,4,3,26,10,11,2,12,2,4,12,25,11,13,13,3,17,27,20,17,13
"9",17,5,6,21,22,21,10,9,7,22,23,8,6,5,10,8,21,21,6,21,10,8,9,21,20
"10",16,8,22,18,15,9,25,4,18,3,9,7,16,9,6,4,4,12,3,22,24,25,10,4,16
"11",8,6,25,7,6,22,6,6,19,24,7,19,18,21,8,20,23,17,9,7,20,22,16,20,19
"12",14,15,16,14,27,27,2,2,27,2,14,14,27,1,27,13,12,27,14,1,15,1,1,13,15
"13",4,3,23,4,19,11,21,17,22,12,3,10,7,10,22,10,18,6,21,11,4,12,4,23,21
"14",26,27,13,3,25,12,16,12,11,17,1,16,26,14,1,27,13,15,2,18,13,18,2,26,2
"15",21,19,8,8,8,7,7,19,21,20,11,23,8,6,21,9,20,22,18,20,23,23,5,7,7
"16",20,18,19,19,7,17,19,18,8,9,20,6,9,25,23,24,5,23,11,9,22,19,6,24,24
"17",25,4,9,26,4,26,5,20,16,16,12,9,15,18,3,18,3,9,24,12,3,10,3,8,12
"18",13,12,1,2,26,16,12,27,13,27,13,15,19,27,16,1,2,1,15,27,27,14,13,16,26
"19",12,1,14,13,1,14,17,1,14,15,27,27,1,2,14,14,1,14,27,14,26,13,27,27,1
"20",23,11,26,10,17,6,26,24,5,25,17,24,20,3,11,21,7,20,19,10,8,4,15,11,18
"21",7,20,24,20,12,19,11,21,24,23,24,11,21,7,24,16,8,10,4,25,5,20,19,15,3
"22",10,10,15,9,24,25,22,25,17,4,15,5,4,19,9,22,24,25,17,24,12,17,22,9,4
"23",24,25,5,24,18,24,24,11,25,8,18,25,17,12,15,17,22,3,23,16,16,24,18,19,23
"24",19,17,18,5,10,18,4,8,9,6,5,22,3,13,17,19,10,5,7,23,7,6,24,5,22
"25",1,14,4,12,14,1,14,13,26,13,26,26,11,26,2,15,14,26,1,13,1,16,12,1,27
"26",5,9,20,22,21,8,9,7,4,10,21,20,22,22,19,23,19,8,20,19,21,11,7,6,6
"27",3,24,17,25,9,15,15,16,12,19,6,3,24,11,4,11,17,24,22,17,25,3,25,10,25
