"","V1","V2","V3","V4","V5","V6","V7"
"1",19,15,22,23,19,20,21
"2",17,12,15,10,15,25,1
"3",23,22,23,16,13,6,7
"4",12,20,1,22,16,16,8
"5",14,3,17,24,8,8,3
"6",10,1,13,15,12,24,25
"7",11,10,11,3,2,3,6
"8",1,11,10,25,14,14,18
"9",3,2,5,11,18,5,14
"10",9,18,14,21,22,1,12
"11",4,24,8,14,10,12,2
"12",15,4,24,2,21,13,11
"13",18,25,16,12,1,15,19
"14",24,9,9,13,25,11,22
"15",5,21,18,4,17,7,23
"16",7,13,25,19,3,10,15
"17",6,8,19,17,24,18,5
"18",8,7,2,5,7,17,20
"19",25,19,12,1,9,19,13
"20",20,14,3,6,20,9,4
"21",13,23,7,8,23,23,16
"22",22,5,6,20,4,21,10
"23",2,16,21,7,5,22,9
"24",21,6,20,9,11,2,17
"25",16,17,4,18,6,4,24
