"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",15,3,29,17,7,11,20,18,28,5,19,26,9,25,3
"2",24,28,11,21,24,5,19,3,12,13,10,22,8,8,2
"3",23,9,25,19,13,21,8,22,11,15,29,6,7,28,29
"4",25,10,26,8,14,8,27,11,24,20,4,5,20,10,6
"5",16,22,30,16,25,18,21,19,1,24,3,14,25,1,24
"6",27,18,18,27,16,30,12,15,7,28,6,29,17,27,9
"7",4,15,27,28,10,9,2,30,15,21,14,24,22,11,26
"8",18,24,28,2,19,23,3,6,9,3,24,17,21,18,8
"9",12,19,16,12,12,20,30,1,22,6,13,30,30,14,30
"10",13,20,17,11,28,12,7,28,8,26,20,3,2,13,4
"11",7,29,22,7,5,25,25,24,4,14,8,23,5,16,16
"12",5,8,15,5,18,16,4,2,29,23,9,15,4,30,18
"13",28,4,19,6,4,13,14,4,6,19,21,20,14,4,27
"14",8,23,5,4,15,6,11,20,25,17,27,28,12,2,10
"15",20,1,10,1,8,2,16,21,10,29,11,9,29,17,15
"16",14,27,8,18,6,27,5,8,27,27,18,7,19,7,21
"17",3,26,2,9,20,10,17,16,14,4,5,4,16,26,28
"18",22,25,7,22,3,14,29,27,18,22,22,16,23,29,11
"19",29,30,21,30,22,15,15,17,30,12,26,2,28,15,17
"20",11,7,14,26,17,4,28,25,5,2,23,10,18,6,19
"21",30,13,1,14,11,17,1,23,19,1,7,18,6,5,13
"22",9,14,4,29,9,19,22,5,2,18,15,1,10,22,7
"23",21,11,6,13,30,7,6,10,3,10,17,27,24,24,20
"24",19,6,3,24,21,24,26,13,16,25,25,25,3,12,23
"25",10,5,9,20,23,22,9,26,23,16,2,21,27,20,5
"26",2,17,23,15,26,1,24,7,20,30,30,19,15,23,14
"27",17,21,20,25,2,3,10,12,21,8,1,12,1,19,22
"28",26,16,12,3,27,28,23,29,26,9,16,11,11,21,25
"29",6,2,24,23,29,26,13,9,17,7,12,8,13,3,12
"30",1,12,13,10,1,29,18,14,13,11,28,13,26,9,1
