"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",19,15,19,20,5,16,20,6,17,18,8,19,6,21,15,8,15,4,5,7,22
"2",6,9,5,17,8,18,17,19,5,7,20,8,5,19,19,19,6,11,21,6,19
"3",12,17,17,5,3,7,9,5,6,19,21,3,19,17,17,17,5,3,10,17,6
"4",15,1,10,1,1,24,12,10,23,15,24,15,12,12,23,11,24,23,13,1,12
"5",10,16,4,23,16,1,7,12,18,4,4,17,17,11,22,10,2,2,15,3,11
"6",2,13,23,14,2,13,2,24,12,11,3,11,1,2,16,12,9,24,8,10,2
"7",4,6,20,8,18,2,11,13,3,22,16,16,10,14,2,6,8,16,2,2,17
"8",14,4,18,24,22,21,13,4,15,8,7,1,11,22,3,13,4,20,17,14,7
"9",22,24,2,3,13,14,10,2,2,12,11,23,7,5,12,15,1,21,14,15,21
"10",16,8,6,7,19,8,22,7,21,5,17,6,3,4,10,16,12,7,4,9,3
"11",11,11,1,2,12,15,24,15,10,24,1,14,23,23,11,1,11,12,24,12,1
"12",13,2,22,13,24,10,14,23,13,13,23,24,22,1,14,14,14,1,23,13,23
"13",23,12,24,10,17,23,15,14,1,2,2,12,15,13,24,23,13,10,1,24,13
"14",9,21,16,4,15,19,8,16,16,20,5,5,8,6,6,21,21,6,19,5,15
"15",5,23,14,12,9,22,21,17,19,9,22,21,13,9,4,4,3,8,9,22,9
"16",8,20,9,6,21,5,19,22,14,10,10,4,14,20,20,7,20,22,7,16,20
"17",17,22,21,16,6,9,18,9,4,3,14,7,21,8,9,5,18,19,20,4,10
"18",20,7,8,18,4,4,16,18,20,21,6,10,20,7,7,20,7,18,11,19,18
"19",1,14,12,11,11,12,1,1,24,1,15,13,24,24,1,24,16,13,12,11,24
"20",24,19,13,15,23,11,3,11,22,23,18,9,2,15,18,3,10,14,22,23,14
"21",7,3,3,22,10,17,4,8,8,14,12,2,16,3,13,2,19,9,3,20,16
"22",18,18,7,21,20,20,6,21,9,16,19,20,18,16,8,18,17,17,6,8,4
"23",3,10,15,19,14,3,23,3,11,17,13,22,9,10,21,22,23,15,18,21,5
"24",21,5,11,9,7,6,5,20,7,6,9,18,4,18,5,9,22,5,16,18,8
