"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",18,9,2,8,19,8,12,25
"2",27,19,21,2,15,12,10,22
"3",12,27,27,10,1,15,13,15
"4",22,26,12,27,11,9,21,19
"5",13,5,6,23,14,25,25,20
"6",10,20,7,13,6,3,2,21
"7",9,4,20,4,24,10,22,17
"8",19,6,24,22,8,4,7,11
"9",7,7,5,11,27,17,9,8
"10",17,21,23,16,20,18,24,2
"11",8,18,19,26,7,24,11,4
"12",11,1,11,17,16,1,14,1
"13",25,17,16,12,26,2,26,14
"14",24,8,25,9,12,23,19,7
"15",20,25,8,5,22,26,15,10
"16",6,14,26,24,21,5,16,23
"17",3,10,14,19,2,11,27,9
"18",23,12,9,25,23,13,3,5
"19",15,13,4,3,5,6,20,3
"20",2,11,22,14,18,27,4,18
"21",4,24,17,7,13,7,5,6
"22",26,15,3,18,3,22,8,16
"23",5,16,10,6,9,21,23,24
"24",21,2,18,15,4,16,17,27
"25",16,3,13,1,10,19,1,13
"26",1,22,1,21,17,14,18,12
"27",14,23,15,20,25,20,6,26
