"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",27,22,24,27,18,9,6,3,13,13,14,16,4,27,18,27,27,10,3,14,5,5,18,3,17
"2",5,4,25,11,23,4,8,17,26,5,25,22,5,19,2,12,22,9,20,19,24,20,12,11,20
"3",1,16,2,15,17,13,29,16,2,14,29,19,2,14,14,2,15,15,2,1,27,2,28,29,16
"4",29,2,1,17,14,17,16,12,15,1,1,1,1,1,1,16,13,17,1,29,15,17,13,14,1
"5",16,3,28,2,16,16,28,14,17,28,12,28,27,17,10,28,19,14,16,2,3,21,27,12,2
"6",20,7,11,6,10,11,2,4,7,21,4,21,10,22,24,6,11,21,13,23,21,26,25,10,21
"7",11,9,22,25,7,6,11,20,5,19,27,11,19,6,9,26,7,24,12,22,20,4,20,8,5
"8",8,25,6,9,21,19,7,11,22,9,17,9,21,25,19,24,5,23,8,4,26,22,11,7,7
"9",17,17,15,28,28,28,27,1,14,15,28,14,18,18,13,3,14,2,18,25,17,29,2,2,3
"10",15,15,12,1,29,15,13,28,16,27,15,2,15,12,29,17,29,16,28,28,29,1,15,1,28
"11",22,6,13,21,19,5,24,24,6,10,21,6,8,23,27,22,18,20,26,8,11,25,10,23,9
"12",21,8,4,10,20,25,3,7,11,11,23,20,23,11,7,20,6,13,24,17,4,3,7,22,24
"13",7,19,26,18,22,7,25,9,10,4,3,4,26,9,22,9,4,11,22,11,14,10,23,9,22
"14",26,26,21,5,26,22,18,21,8,8,26,25,22,4,23,10,25,25,7,18,13,18,22,18,13
"15",24,24,23,20,12,26,4,10,23,24,20,5,11,13,4,5,20,19,25,6,22,11,24,20,10
"16",23,18,27,8,4,23,26,22,27,12,5,18,6,16,21,25,3,12,14,26,23,8,8,21,11
"17",18,11,7,23,9,10,5,26,20,6,11,27,25,10,25,4,21,7,10,7,18,7,5,13,8
"18",9,23,8,26,24,14,10,18,21,23,9,23,7,5,20,18,8,8,23,21,8,23,26,26,6
"19",2,28,29,14,11,12,1,27,12,16,13,3,28,15,12,14,16,18,11,27,2,27,1,28,18
"20",13,14,17,12,3,27,9,13,3,3,8,12,14,2,16,29,28,3,17,3,19,28,17,25,27
"21",25,20,5,7,8,8,23,25,24,17,22,10,12,8,6,11,10,6,9,9,7,24,19,5,25
"22",3,12,20,13,2,18,17,2,18,18,18,24,3,3,28,13,12,28,27,5,6,14,3,4,14
"23",6,27,3,24,13,24,22,23,9,20,2,26,13,20,3,23,24,22,19,13,16,12,9,6,23
"24",10,10,19,3,27,20,12,19,4,25,7,8,9,26,5,7,9,4,6,10,10,9,4,17,12
"25",14,1,16,29,15,29,14,29,29,2,16,15,16,28,17,1,1,29,15,15,1,15,29,16,29
"26",28,29,14,16,1,1,15,15,1,29,19,29,29,29,15,15,2,1,29,16,28,16,14,15,15
"27",12,21,10,4,5,2,21,6,19,7,10,13,17,24,8,8,26,26,21,20,9,6,16,27,4
"28",4,5,9,19,6,21,19,8,25,22,24,7,24,21,26,21,23,5,5,24,12,13,21,19,19
"29",19,13,18,22,25,3,20,5,28,26,6,17,20,7,11,19,17,27,4,12,25,19,6,24,26
