"","V1","V2","V3","V4","V5"
"1",28,17,28,14,27
"2",13,30,16,13,11
"3",9,26,23,25,29
"4",3,23,25,18,6
"5",11,2,22,3,24
"6",23,16,1,22,21
"7",2,8,13,11,26
"8",10,10,2,15,4
"9",14,7,27,29,20
"10",5,3,9,26,9
"11",30,9,17,19,18
"12",18,24,20,8,22
"13",22,4,24,12,3
"14",16,5,4,20,28
"15",24,28,26,2,16
"16",17,20,30,21,10
"17",19,1,15,17,15
"18",26,6,7,5,12
"19",25,22,14,28,25
"20",8,18,18,6,1
"21",12,19,6,30,14
"22",20,27,11,24,2
"23",15,15,12,1,7
"24",1,14,19,23,17
"25",27,12,21,27,5
"26",29,25,5,10,8
"27",6,11,29,9,13
"28",21,13,10,7,30
"29",4,21,3,4,19
"30",7,29,8,16,23
