"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",21,17,26,24,6,17,27,25,27,14,29,5,6,5,23,4,18,22,24,17,27,19,19
"2",26,20,9,5,21,7,8,5,24,13,25,12,20,9,27,18,23,24,8,10,20,3,4
"3",14,28,14,13,26,3,24,9,19,7,22,4,25,14,2,8,6,27,17,25,12,25,24
"4",25,25,22,20,5,22,23,6,10,8,21,11,9,23,5,26,22,9,12,6,10,22,6
"5",13,29,19,14,11,2,15,16,18,30,1,1,16,2,18,29,30,1,15,3,24,12,21
"6",5,7,28,23,18,6,26,10,21,11,8,22,7,17,21,24,9,20,9,8,8,5,28
"7",1,2,1,9,12,30,30,1,15,1,16,16,17,1,14,14,17,30,30,2,16,15,14
"8",9,5,21,11,8,4,18,13,7,24,26,23,12,25,7,9,26,23,21,24,23,6,8
"9",18,8,11,25,7,18,5,7,26,10,5,28,23,6,6,6,24,6,13,23,9,10,17
"10",30,1,2,16,1,1,16,29,16,17,17,15,11,15,30,15,21,12,11,30,6,30,30
"11",29,30,30,15,13,29,10,15,17,2,15,20,15,16,16,1,1,14,2,29,29,1,11
"12",19,4,25,10,17,5,4,24,13,6,7,9,24,24,22,5,11,10,23,5,13,20,3
"13",11,9,17,4,9,19,22,20,6,5,27,27,22,10,26,23,5,4,6,14,22,26,18
"14",24,14,29,1,14,13,2,11,3,20,23,18,30,3,11,28,15,16,26,19,1,16,29
"15",12,10,27,3,28,28,19,18,28,21,9,8,14,11,8,10,27,17,7,12,3,29,10
"16",27,3,18,28,23,23,17,23,23,29,24,13,18,19,4,17,4,3,28,13,15,2,22
"17",6,26,23,8,24,20,7,3,22,18,14,25,10,26,28,13,20,5,27,22,18,23,23
"18",16,12,15,17,30,15,1,30,20,15,18,30,13,30,1,30,16,29,1,1,30,17,16
"19",28,18,16,30,22,8,12,19,2,3,2,26,1,13,15,19,29,25,29,16,14,27,13
"20",22,23,13,7,10,24,25,26,25,25,3,24,21,22,20,25,13,26,19,26,7,14,7
"21",10,6,12,26,19,25,3,8,14,26,19,7,4,7,19,27,8,18,16,28,21,24,2
"22",23,13,7,2,20,10,29,4,12,27,4,17,3,21,10,3,12,8,5,18,25,18,20
"23",4,21,8,22,16,26,9,22,11,28,28,21,26,20,17,2,28,21,10,7,11,21,25
"24",17,27,5,18,29,14,20,17,9,22,20,29,8,4,25,7,7,11,22,4,4,8,9
"25",7,19,3,21,4,9,14,12,29,19,11,19,29,18,9,20,3,13,25,9,28,28,5
"26",2,16,6,12,15,12,11,21,30,4,30,3,2,28,13,21,14,2,14,21,2,9,12
"27",8,24,10,6,3,21,6,27,5,12,6,10,5,12,3,12,10,19,18,11,19,4,27
"28",3,22,24,27,25,11,28,28,4,16,13,14,27,8,12,16,19,7,4,27,17,11,1
"29",15,15,20,29,2,16,13,2,1,23,12,2,19,29,29,11,2,28,3,15,5,13,15
"30",20,11,4,19,27,27,21,14,8,9,10,6,28,27,24,22,25,15,20,20,26,7,26
