"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",6,17,6,1,1,12,6,1,10,10,15,10,19,15
"2",16,7,18,2,17,4,4,7,8,13,6,9,4,13
"3",8,13,2,3,12,2,12,19,2,9,12,7,8,1
"4",11,16,10,19,15,14,5,17,7,14,3,13,18,6
"5",2,19,15,10,19,7,11,12,13,19,18,3,13,10
"6",1,6,19,9,2,11,10,14,3,7,1,19,11,11
"7",5,10,13,4,9,17,18,5,14,17,4,12,6,2
"8",19,11,4,11,7,5,19,10,4,18,8,14,15,17
"9",15,12,17,16,3,15,15,18,18,11,13,8,7,14
"10",17,14,1,8,18,18,9,6,19,6,9,18,10,9
"11",3,8,5,18,16,13,17,9,6,4,17,11,3,12
"12",4,5,3,17,4,6,3,8,17,12,7,6,12,5
"13",9,1,11,14,11,19,8,4,1,15,11,1,9,19
"14",7,15,12,13,10,1,1,13,15,1,10,15,5,18
"15",18,9,14,7,8,16,2,11,5,2,16,5,14,4
"16",12,4,16,15,13,3,14,2,11,8,14,16,16,3
"17",13,2,7,6,6,9,7,16,12,16,19,17,2,8
"18",14,18,9,12,5,8,13,3,9,5,2,2,1,7
"19",10,3,8,5,14,10,16,15,16,3,5,4,17,16
