"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",9,22,15,10,21,28,11,4,16,3,23,24,3
"2",13,8,14,24,9,16,23,1,23,17,29,25,27
"3",5,15,6,2,6,9,10,18,19,4,20,5,26
"4",7,10,24,14,3,23,16,8,2,6,7,20,23
"5",2,13,18,6,12,20,3,25,4,21,28,10,12
"6",25,12,12,20,4,5,2,5,28,10,15,12,7
"7",23,24,13,17,20,19,1,16,5,18,2,28,25
"8",21,14,22,1,29,22,21,6,9,26,16,13,6
"9",4,5,21,26,27,10,9,11,18,20,10,27,10
"10",20,17,25,22,1,8,12,22,6,29,22,23,15
"11",26,4,19,28,16,29,13,27,13,13,17,2,22
"12",11,1,29,18,19,2,20,14,12,1,24,9,18
"13",17,2,8,4,11,27,8,13,26,27,13,22,19
"14",19,11,16,11,24,4,24,23,22,25,6,6,24
"15",12,19,27,23,8,25,6,19,21,16,5,7,2
"16",8,3,5,16,5,14,22,29,14,23,3,15,4
"17",18,25,17,27,10,11,25,12,3,5,12,4,5
"18",16,26,23,15,28,13,4,28,25,7,26,16,20
"19",29,27,28,9,13,12,14,3,15,22,9,11,29
"20",6,28,10,19,22,18,17,15,27,28,21,1,9
"21",3,18,9,21,26,26,28,21,8,11,14,14,28
"22",15,6,3,8,23,15,7,2,7,9,4,3,14
"23",28,9,7,12,25,6,15,17,1,15,27,19,1
"24",27,16,2,25,18,21,19,24,24,2,8,21,13
"25",22,7,26,7,14,17,29,20,20,8,19,29,8
"26",24,23,4,13,2,24,27,10,17,19,25,8,17
"27",10,21,1,29,15,3,5,7,10,24,18,17,21
"28",1,20,20,5,17,7,26,9,29,14,1,18,16
"29",14,29,11,3,7,1,18,26,11,12,11,26,11
