"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",8,9,3,26,25,4,11,19,6,3,6,27,10,15,19,13,17
"2",5,25,28,12,9,9,14,15,27,21,26,26,8,23,27,14,13
"3",28,12,1,14,1,28,13,1,15,19,7,14,1,19,14,27,18
"4",12,27,4,4,5,23,18,14,12,12,10,28,28,9,11,16,1
"5",20,22,19,24,4,5,19,4,21,4,22,10,25,18,17,11,23
"6",3,23,13,6,26,3,10,9,13,24,18,3,18,7,13,21,25
"7",25,6,18,7,17,2,6,6,23,14,15,23,9,10,21,25,3
"8",19,7,2,10,20,17,2,17,25,25,23,11,24,17,3,12,7
"9",7,21,21,9,18,22,21,5,3,26,5,9,6,16,18,9,6
"10",14,28,17,28,19,15,22,16,28,16,1,13,12,11,1,28,28
"11",18,18,5,21,8,6,26,24,20,23,12,6,4,5,20,18,9
"12",27,15,14,5,28,19,24,21,26,10,8,2,20,14,28,7,15
"13",17,17,10,2,23,11,25,3,7,5,28,20,13,22,5,20,12
"14",26,20,20,25,10,20,8,23,4,27,20,25,17,13,6,22,16
"15",2,19,9,20,13,18,3,10,18,7,3,17,22,26,24,24,8
"16",4,5,8,17,14,21,23,8,24,9,19,24,5,6,7,8,22
"17",9,11,7,11,15,13,20,26,1,15,25,12,26,1,26,26,20
"18",13,1,12,27,6,24,9,7,11,18,27,1,15,12,25,6,11
"19",21,8,23,18,22,26,27,12,10,22,14,22,23,24,22,17,26
"20",23,3,27,13,11,8,15,11,5,6,2,7,21,4,4,15,10
"21",1,13,16,16,2,1,28,20,9,17,16,15,19,20,2,1,4
"22",15,2,11,3,12,7,16,27,17,28,4,21,16,28,15,5,24
"23",6,10,22,8,7,25,7,25,22,2,11,5,14,21,8,19,19
"24",11,4,24,23,27,14,17,22,14,11,21,8,3,27,12,23,2
"25",16,16,25,1,3,16,1,18,8,8,17,16,2,8,23,10,27
"26",10,14,26,22,24,12,5,2,19,20,9,19,27,2,10,4,14
"27",24,26,6,19,16,10,4,13,2,13,13,4,7,25,9,3,21
"28",22,24,15,15,21,27,12,28,16,1,24,18,11,3,16,2,5
