"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",2,1,1,3,4,1,2,3,2,1,4,4,4,3,2,4,2
"2",3,2,1,2,2,1,1,1,3,3,4,1,3,2,4,3,4
"3",2,3,2,1,3,3,1,1,1,4,2,4,4,2,3,1,1
"4",3,3,2,4,1,1,2,3,4,2,1,2,3,1,2,1,1
"5",4,3,3,4,4,3,1,4,2,4,1,1,2,3,2,3,4
"6",1,4,2,1,4,2,1,2,4,2,3,1,2,3,1,2,2
"7",3,3,1,4,4,4,4,1,4,3,3,3,1,1,3,4,2
"8",2,1,3,4,2,3,2,1,3,4,4,3,1,4,1,1,3
"9",3,2,2,1,2,4,3,4,4,1,2,3,4,4,1,3,4
"10",4,2,4,3,1,1,4,1,1,2,2,3,2,3,1,3,1
"11",2,4,4,2,1,4,1,2,2,1,2,2,1,2,2,4,3
"12",4,1,4,2,3,2,4,3,4,4,3,2,4,2,2,2,3
"13",1,3,3,3,1,4,3,3,3,4,3,1,4,3,4,4,1
"14",4,4,4,1,2,2,2,2,3,3,1,4,3,4,3,4,2
"15",1,4,1,3,2,3,4,4,2,3,2,4,3,1,1,2,3
"16",4,4,1,3,3,4,3,3,1,2,4,2,2,4,3,1,4
"17",1,2,4,4,3,2,2,2,1,1,3,3,3,1,4,2,4
"18",2,1,3,1,1,2,3,4,1,3,4,2,2,1,3,3,2
"19",1,2,3,2,4,1,3,4,3,2,1,4,1,2,4,1,3
"20",3,1,2,2,3,3,4,2,2,1,1,1,1,4,4,2,1
