"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,3,3,3,2,4,1,2,1,3
"2",1,3,1,1,4,4,3,2,4,1
"3",2,1,4,4,4,1,1,2,3,4
"4",1,2,1,3,3,2,1,1,2,1
"5",4,4,1,2,1,1,2,2,2,3
"6",3,1,2,2,1,4,3,1,3,2
"7",1,1,3,1,2,4,2,4,2,4
"8",2,4,3,1,3,1,4,1,1,2
"9",1,2,4,2,2,3,4,2,4,3
"10",2,1,1,4,3,3,3,3,1,3
"11",4,4,4,1,3,3,1,3,3,2
"12",1,3,2,4,2,1,2,3,3,2
"13",4,2,2,4,4,4,4,4,2,2
"14",2,4,4,3,1,3,3,4,2,1
"15",3,3,1,2,3,2,4,4,3,4
"16",3,2,3,2,4,2,2,3,1,1
"17",3,4,2,3,4,3,2,1,4,4
"18",2,2,2,1,1,2,1,4,4,3
"19",4,3,4,4,1,2,3,1,1,4
"20",4,1,3,3,2,1,4,3,4,1
