"","V1","V2","V3"
"1",2,5,3
"2",4,4,5
"3",4,1,5
"4",5,1,4
"5",4,4,1
"6",4,4,4
"7",1,2,5
"8",5,3,3
"9",3,2,1
"10",2,2,4
"11",1,4,5
"12",3,1,4
"13",1,3,3
"14",1,2,2
"15",5,2,3
"16",2,2,4
"17",2,1,2
"18",3,3,1
"19",4,5,2
"20",1,5,1
"21",2,2,1
"22",4,2,1
"23",2,1,5
"24",1,3,2
"25",3,5,3
"26",2,3,1
"27",5,3,3
"28",3,3,5
"29",1,5,4
"30",3,5,4
"31",1,1,1
"32",5,4,4
"33",5,3,2
"34",4,2,4
"35",1,1,3
"36",1,4,3
"37",2,4,2
"38",3,5,2
"39",2,4,4
"40",3,3,5
"41",4,5,3
"42",5,5,5
"43",3,4,1
"44",5,5,1
"45",5,4,2
"46",4,2,2
"47",4,1,2
"48",1,3,4
"49",5,2,5
"50",2,4,2
"51",2,5,5
"52",3,1,3
"53",4,3,5
"54",5,1,1
"55",3,1,3
