"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",15,16,8,4,19,10,11,5
"2",6,5,2,12,18,7,7,12
"3",7,12,9,7,8,6,13,16
"4",5,15,16,10,2,1,8,3
"5",10,8,12,1,16,5,1,1
"6",3,11,7,17,4,11,3,8
"7",19,6,3,9,7,12,14,2
"8",8,2,10,14,9,16,6,4
"9",16,4,14,18,6,4,12,11
"10",12,10,5,19,13,19,9,19
"11",4,7,17,3,11,14,10,14
"12",9,18,1,2,5,18,16,10
"13",14,9,11,11,1,15,19,13
"14",2,3,6,6,14,2,18,7
"15",17,17,4,13,10,3,2,15
"16",18,13,15,8,15,17,5,9
"17",11,14,18,15,12,8,17,6
"18",13,1,19,5,3,9,4,18
"19",1,19,13,16,17,13,15,17
