"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,3,2,3,2,3,2,1,3,3,3,2,2,2,1,1,1,1
"2",3,2,2,1,1,3,1,3,2,1,2,3,3,2,1,2,1,3
"3",1,3,3,1,2,3,1,1,1,1,1,2,1,2,2,3,2,2
"4",1,3,1,2,3,2,3,3,1,1,3,2,2,1,3,2,1,2
"5",3,2,3,1,3,2,1,2,1,3,3,1,2,3,2,1,1,1
"6",3,1,2,2,2,2,1,1,1,1,2,1,3,1,1,2,3,1
"7",1,1,2,3,3,2,1,1,2,3,1,3,2,3,3,2,3,2
"8",1,2,3,2,1,1,1,3,3,2,2,3,1,1,2,2,1,1
"9",3,3,3,3,3,2,2,2,3,2,1,3,1,3,1,2,2,3
"10",3,2,1,3,1,2,3,1,1,2,2,2,2,1,1,1,2,3
"11",2,1,3,3,3,1,1,3,2,1,3,2,1,1,2,1,2,3
"12",1,1,3,2,1,3,2,2,1,2,3,2,3,3,2,1,3,3
"13",1,1,2,1,3,1,2,2,3,3,2,2,3,1,1,3,2,2
"14",1,1,1,1,2,2,3,3,2,2,3,1,1,2,1,2,3,1
"15",2,3,3,1,2,2,2,1,2,2,3,3,3,1,3,3,1,3
"16",2,2,1,1,2,3,1,3,3,2,1,2,2,3,3,3,3,1
"17",2,2,3,2,3,3,3,1,3,3,2,1,3,2,3,2,2,3
"18",3,1,2,3,3,3,2,3,1,2,2,1,1,2,3,3,1,2
"19",3,3,1,2,2,1,1,2,2,3,2,2,1,2,3,3,3,3
"20",1,2,2,1,1,2,2,2,3,1,1,1,1,1,3,1,3,3
"21",2,3,1,2,3,3,1,2,2,2,1,1,3,1,1,1,2,1
"22",2,3,3,3,1,1,3,2,2,1,2,1,2,3,1,2,3,2
"23",3,2,1,2,3,1,2,1,3,1,3,3,2,2,1,3,3,2
"24",1,2,2,2,2,1,3,3,2,3,1,1,2,3,1,3,1,3
"25",1,2,1,3,2,1,2,2,1,1,2,3,3,3,3,1,2,1
"26",2,2,2,3,1,3,3,2,1,3,3,3,1,1,2,3,3,1
"27",2,1,1,2,2,3,3,1,3,1,2,3,1,3,2,1,1,2
"28",3,1,3,3,2,2,3,2,3,1,1,2,3,2,2,3,1,1
"29",3,3,2,1,1,1,3,1,2,2,3,2,1,3,3,2,2,1
"30",2,3,1,3,1,2,1,3,3,3,3,1,3,3,2,3,2,2
"31",2,1,1,1,1,1,2,1,1,3,1,1,2,2,2,2,1,3
"32",3,1,3,2,1,3,2,3,2,3,1,3,2,1,3,1,2,2
"33",2,3,2,1,3,1,3,3,1,2,1,3,3,2,2,1,3,2
