"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",3,7,13,6,25,6,9,10,20,5,6,3,17,22,18,10,6,14,3,27,14,24,10,27,8
"2",27,5,24,7,7,25,6,8,17,17,27,22,8,23,22,3,7,25,20,4,8,11,11,11,14
"3",7,3,27,29,26,20,5,23,4,23,29,11,3,13,10,15,12,4,12,28,18,15,12,14,27
"4",12,1,1,15,12,17,30,12,14,13,15,21,1,30,30,30,30,1,14,20,1,30,16,15,13
"5",20,18,23,9,10,14,7,15,5,3,9,24,2,8,20,13,27,12,2,8,23,4,19,28,28
"6",11,11,8,13,2,28,2,5,22,27,23,12,21,4,26,23,19,17,8,15,28,23,4,21,19
"7",5,27,22,27,8,23,26,11,19,19,4,10,24,25,21,11,25,28,4,18,19,16,20,6,25
"8",21,22,17,2,28,26,23,1,3,9,12,29,20,15,24,19,16,10,22,29,13,19,3,2,20
"9",2,14,11,8,5,22,15,27,9,12,7,9,9,5,17,27,5,20,27,22,5,7,23,7,22
"10",30,6,30,30,21,21,16,13,27,1,11,13,30,1,14,21,29,19,30,17,11,12,13,17,7
"11",15,15,9,20,30,30,18,21,1,2,17,7,18,29,29,1,14,23,15,13,30,2,30,16,10
"12",29,30,4,14,19,29,1,30,16,15,3,25,25,21,4,16,2,2,6,16,16,13,26,18,16
"13",1,29,12,11,22,24,22,18,13,25,30,15,12,24,12,20,26,13,26,5,15,3,7,29,4
"14",16,2,5,23,13,8,21,16,15,16,20,26,27,17,19,14,3,29,29,23,24,6,1,30,29
"15",10,23,21,18,14,11,8,4,25,4,18,8,23,27,5,26,11,5,17,9,4,5,6,12,26
"16",8,4,16,12,24,7,19,7,21,18,2,23,14,3,8,7,21,3,24,10,29,9,27,5,17
"17",13,24,19,26,29,1,3,26,18,24,5,27,13,9,27,25,15,26,21,12,3,17,15,26,12
"18",25,9,20,3,11,5,28,24,11,22,19,4,26,6,28,18,10,6,5,11,17,8,14,10,5
"19",19,13,18,24,6,27,29,25,23,11,8,2,4,14,3,8,13,11,23,7,22,27,5,23,15
"20",17,12,14,21,1,18,12,19,30,30,16,30,15,16,1,9,17,15,1,30,2,1,17,1,1
"21",24,10,2,1,27,15,11,20,29,20,14,1,16,18,11,29,24,30,18,1,20,20,21,13,30
"22",9,21,15,5,18,13,10,29,10,10,26,20,28,7,2,2,28,27,16,19,21,29,8,8,11
"23",23,16,29,19,17,10,14,14,6,29,1,17,10,28,13,28,1,18,13,14,27,26,2,3,2
"24",14,25,25,4,15,19,27,3,28,14,21,19,5,11,9,24,9,24,11,26,25,14,29,25,6
"25",4,19,3,28,9,16,13,2,2,21,13,18,29,10,15,5,8,7,19,2,9,21,22,22,3
"26",28,20,7,16,20,3,25,6,8,26,10,5,7,12,6,4,22,22,10,21,6,10,9,20,21
"27",22,17,26,10,16,12,17,28,24,28,22,14,22,26,23,6,20,8,28,25,7,25,28,24,24
"28",18,28,6,22,23,9,20,17,26,8,28,16,6,2,25,12,4,16,7,6,10,28,18,4,23
"29",6,8,28,17,4,2,24,22,7,6,24,28,19,20,7,22,18,21,9,3,12,22,25,19,18
"30",26,26,10,25,3,4,4,9,12,7,25,6,11,19,16,17,23,9,25,24,26,18,24,9,9
