"","V1","V2","V3","V4","V5"
"1",20,25,23,25,17
"2",26,10,20,17,24
"3",19,3,12,9,27
"4",28,17,26,7,29
"5",18,14,17,30,10
"6",14,30,5,27,15
"7",24,22,13,29,22
"8",11,23,19,16,1
"9",13,21,27,2,11
"10",8,28,21,19,28
"11",16,1,28,20,20
"12",17,19,3,14,26
"13",23,9,6,1,16
"14",30,4,15,24,12
"15",15,16,14,6,3
"16",4,15,30,23,23
"17",25,6,22,4,6
"18",6,8,25,28,4
"19",21,12,9,18,2
"20",29,27,10,11,19
"21",5,24,16,3,25
"22",3,26,8,8,7
"23",12,7,7,26,30
"24",7,2,4,15,9
"25",2,5,18,12,18
"26",22,29,29,13,8
"27",27,20,2,22,5
"28",9,13,1,5,21
"29",10,11,24,10,14
"30",1,18,11,21,13
