"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",12,7,19,22,9,3,19,3,29,2,12,14,27,18,8,22,25,19,21,20,29,23,26
"2",3,16,28,30,1,15,28,18,20,25,29,7,12,13,10,7,18,10,3,28,23,17,20
"3",11,29,16,2,2,12,24,29,30,5,8,29,2,19,18,10,17,17,16,4,4,10,15
"4",30,15,21,19,30,14,29,19,9,1,19,27,28,15,26,16,30,11,29,1,15,16,5
"5",20,25,25,10,26,5,16,22,26,28,6,10,23,25,22,19,9,4,20,24,22,9,11
"6",21,9,15,4,15,13,25,12,1,19,28,19,16,20,2,27,14,2,28,29,3,6,22
"7",9,5,5,5,4,19,12,20,6,7,24,9,10,24,24,20,21,26,19,25,18,27,9
"8",13,11,18,16,20,16,10,30,15,20,13,18,1,1,29,9,1,16,30,30,30,24,1
"9",7,21,4,17,13,29,14,28,22,17,26,20,21,29,11,28,28,12,11,13,28,7,3
"10",24,3,6,6,18,25,26,17,23,24,9,23,17,14,27,24,12,22,4,6,24,22,23
"11",26,6,12,23,24,22,17,24,27,10,21,15,7,4,21,13,23,7,9,22,6,2,27
"12",29,22,9,8,16,2,3,25,28,23,23,6,14,11,4,5,26,21,26,12,14,20,14
"13",28,2,8,18,5,4,22,2,8,27,15,13,6,28,12,12,2,14,5,16,11,13,4
"14",2,1,27,24,14,1,4,16,14,12,10,5,15,12,28,26,13,13,13,9,2,3,6
"15",5,19,7,13,11,6,9,14,10,21,5,26,20,17,23,2,29,5,10,23,5,25,24
"16",10,8,29,9,21,7,13,9,3,30,20,17,25,2,16,11,24,29,7,3,20,8,16
"17",19,26,3,29,17,9,20,4,13,6,27,24,18,8,25,4,8,23,15,21,25,5,12
"18",18,20,2,14,8,8,11,13,18,9,18,2,3,3,14,30,4,1,18,2,21,18,29
"19",8,23,23,25,25,10,18,23,12,22,22,22,8,26,7,21,5,25,14,8,8,28,25
"20",15,30,17,1,23,17,1,1,16,15,30,8,30,30,30,14,16,15,1,15,10,19,30
"21",27,24,26,12,6,26,5,26,5,3,14,21,24,10,13,23,7,20,8,27,12,14,21
"22",25,27,24,3,12,20,21,5,11,13,3,16,9,5,5,17,22,6,12,11,26,29,7
"23",22,18,30,15,19,30,27,11,24,11,17,1,19,22,15,1,15,30,17,19,1,30,2
"24",17,14,13,20,29,11,2,10,19,14,2,30,4,16,1,29,20,28,2,26,17,12,8
"25",23,17,20,26,7,24,7,15,7,18,4,11,13,27,19,8,19,24,27,5,27,4,28
"26",16,12,14,27,3,23,6,8,25,29,25,28,26,7,17,18,10,8,22,10,7,26,10
"27",1,13,1,11,10,18,30,21,17,16,1,12,29,6,6,15,3,27,25,17,9,1,17
"28",14,10,10,28,22,21,15,27,2,4,7,4,22,21,3,6,11,3,6,7,16,21,13
"29",4,4,22,7,28,27,8,6,21,8,16,25,11,23,9,3,6,9,24,14,19,11,19
"30",6,28,11,21,27,28,23,7,4,26,11,3,5,9,20,25,27,18,23,18,13,15,18
