"","V1","V2","V3","V4","V5","V6"
"1",29,15,16,2,6,10
"2",18,25,3,17,30,11
"3",15,29,29,23,5,16
"4",4,9,7,9,24,8
"5",22,30,11,5,19,13
"6",6,22,20,3,27,17
"7",5,20,4,20,7,23
"8",21,8,24,27,28,14
"9",20,21,18,19,14,1
"10",8,7,26,4,8,3
"11",1,24,23,15,18,7
"12",12,27,9,12,3,5
"13",28,23,13,29,9,22
"14",26,19,28,11,25,4
"15",3,16,27,28,15,19
"16",9,28,17,25,23,27
"17",2,6,12,13,13,28
"18",10,18,1,8,11,15
"19",30,10,19,14,22,20
"20",11,4,30,18,20,24
"21",24,17,8,22,26,29
"22",23,3,6,16,4,18
"23",16,12,5,1,17,26
"24",14,2,14,6,29,21
"25",7,11,15,26,1,12
"26",27,5,2,24,16,6
"27",17,1,21,21,10,9
"28",25,26,25,7,12,25
"29",19,13,22,10,2,30
"30",13,14,10,30,21,2
