"","V1","V2","V3","V4"
"1",28,6,11,12
"2",16,24,23,11
"3",30,13,25,8
"4",17,12,1,24
"5",11,7,14,30
"6",23,10,18,1
"7",29,23,9,26
"8",22,29,2,15
"9",5,3,16,16
"10",20,16,7,9
"11",21,8,27,17
"12",9,22,26,13
"13",15,17,30,20
"14",12,14,19,14
"15",24,26,28,29
"16",2,11,24,25
"17",7,5,29,4
"18",10,21,4,2
"19",25,4,5,21
"20",13,30,17,23
"21",26,18,15,5
"22",1,25,10,18
"23",27,20,20,19
"24",14,1,8,6
"25",6,19,6,28
"26",8,15,12,22
"27",3,9,3,10
"28",4,28,21,7
"29",18,27,13,3
"30",19,2,22,27
