"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",27,3,20,9,28,10,16,21,5
"2",3,10,9,11,6,9,11,26,27
"3",12,9,6,24,16,11,30,12,2
"4",24,30,10,15,23,16,28,30,17
"5",1,29,21,28,11,22,8,13,18
"6",20,5,8,27,27,26,14,8,20
"7",15,12,11,1,21,24,9,25,7
"8",28,17,3,17,4,30,12,14,9
"9",30,22,12,3,18,7,7,10,21
"10",11,28,29,5,26,4,13,15,14
"11",8,26,4,22,19,28,17,22,24
"12",19,27,7,13,9,13,3,3,6
"13",4,23,15,18,25,20,5,18,1
"14",26,25,17,26,5,6,25,20,12
"15",9,6,24,8,17,29,1,11,13
"16",5,2,16,16,20,5,24,4,23
"17",22,7,1,21,15,3,4,24,15
"18",18,19,5,6,12,1,20,17,30
"19",6,16,25,2,10,14,29,23,19
"20",10,4,13,29,8,19,21,29,10
"21",23,8,18,4,7,21,18,1,16
"22",21,21,28,12,14,27,22,27,3
"23",13,24,14,10,3,25,27,7,26
"24",16,20,26,30,22,8,19,2,8
"25",2,15,2,7,29,17,23,6,11
"26",29,11,23,19,24,23,26,16,28
"27",14,18,19,25,30,12,2,28,25
"28",17,1,27,14,1,18,6,19,22
"29",25,14,30,23,13,15,10,5,29
"30",7,13,22,20,2,2,15,9,4
