"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",21,20,9,27,23,19,19,7,27,8,25,26,7,20,3,14,18,6,2,6,10,7,4,12,27,12,23,11
"2",7,28,18,6,12,9,21,25,28,5,17,14,28,18,26,20,20,7,27,13,3,29,9,9,14,10,5,4
"3",19,30,15,1,5,2,15,1,1,13,12,18,10,2,2,30,14,15,19,23,29,16,13,2,30,2,14,16
"4",15,22,23,9,4,28,24,5,18,26,3,24,3,14,14,21,8,12,13,7,4,5,28,22,13,23,12,3
"5",25,7,29,20,3,29,5,17,30,19,11,17,19,5,27,11,29,17,6,17,14,2,3,4,11,8,11,14
"6",13,1,12,18,10,16,1,30,15,1,21,12,1,1,1,1,15,16,18,14,1,17,15,14,6,30,30,1
"7",6,18,22,30,20,30,10,28,7,7,7,2,2,17,30,29,26,14,16,2,19,15,21,16,29,11,16,21
"8",2,27,20,12,13,11,8,11,11,2,1,29,30,10,12,2,19,29,8,15,11,3,12,18,22,19,19,29
"9",20,13,25,25,11,3,23,24,25,25,4,28,6,23,10,4,21,10,24,27,21,20,18,10,5,15,17,26
"10",14,21,3,7,24,6,6,27,24,27,14,13,21,13,8,22,22,28,4,8,28,12,26,15,3,6,22,13
"11",18,25,4,28,8,20,25,9,17,6,23,4,18,8,23,6,7,25,26,11,26,10,23,8,8,14,9,22
"12",4,17,6,19,1,25,14,16,6,28,30,20,13,29,16,16,23,30,30,16,9,30,30,3,23,16,26,15
"13",12,3,24,21,6,5,16,8,23,22,24,7,26,12,18,24,25,8,22,10,24,8,11,25,25,25,27,19
"14",11,12,11,5,7,26,12,20,26,15,8,5,12,25,5,9,3,18,9,9,25,28,5,21,24,18,3,25
"15",23,8,5,13,22,13,9,15,20,3,9,27,9,9,22,15,27,9,28,20,27,22,27,24,21,27,2,10
"16",1,19,30,2,15,14,11,10,13,16,26,1,14,22,15,13,16,1,1,29,18,9,22,1,2,28,1,12
"17",24,24,28,17,16,1,2,13,19,10,16,15,17,28,17,8,1,2,17,4,12,26,29,29,16,1,29,23
"18",10,9,19,14,28,17,27,3,29,11,27,6,11,3,13,19,28,20,10,25,7,27,24,20,10,9,18,28
"19",26,16,2,15,2,10,30,19,2,12,20,23,15,15,29,28,12,11,5,12,16,24,1,17,1,29,21,30
"20",17,2,8,22,9,4,22,22,12,9,5,11,16,26,19,26,13,23,3,28,8,6,19,26,20,5,6,8
"21",29,14,1,8,19,18,18,14,16,30,2,3,29,4,28,10,10,4,12,30,2,19,16,13,28,13,25,18
"22",16,29,7,16,30,22,28,29,3,17,10,10,23,30,4,12,30,3,20,18,15,1,14,30,12,24,13,17
"23",9,23,16,24,27,21,4,4,22,14,6,19,24,27,21,25,9,22,14,26,23,23,8,11,9,26,24,5
"24",8,4,17,23,29,8,26,18,4,20,15,21,25,6,9,7,6,13,7,3,17,21,25,5,26,17,7,6
"25",28,10,13,3,14,23,17,2,8,18,29,30,27,21,20,3,24,21,15,1,22,18,17,27,7,7,15,2
"26",27,5,27,4,21,27,20,23,21,4,22,22,22,19,6,27,4,27,21,21,13,13,20,6,19,22,20,20
"27",30,26,26,29,18,12,13,26,10,29,28,9,8,7,11,18,11,26,11,19,20,25,6,28,17,20,10,7
"28",5,11,10,26,17,24,7,12,9,23,19,25,20,11,7,23,5,5,23,22,6,14,10,23,4,4,4,24
"29",3,15,21,11,26,15,29,21,14,21,18,16,4,16,25,5,2,19,29,24,30,4,2,19,18,3,28,9
"30",22,6,14,10,25,7,3,6,5,24,13,8,5,24,24,17,17,24,25,5,5,11,7,7,15,21,8,27
