"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",11,28,8,15,20,11,27,11,11,26,3,9,4,25,14,4,26
"2",12,6,23,5,5,22,25,26,14,11,22,29,23,24,16,5,23
"3",22,13,13,27,18,19,7,28,10,13,10,5,26,20,28,29,28
"4",17,16,9,20,11,28,18,9,1,3,26,8,21,28,23,11,2
"5",29,30,14,22,22,7,10,1,13,10,23,30,12,23,15,26,12
"6",7,17,28,25,16,15,22,19,8,2,27,20,6,4,8,22,29
"7",28,19,25,23,4,6,24,20,19,9,6,12,11,11,26,6,6
"8",18,1,24,16,17,12,1,13,16,30,1,19,22,2,17,27,1
"9",10,4,2,24,3,3,12,21,23,27,29,14,19,21,12,23,16
"10",1,23,22,30,7,8,15,2,15,23,19,3,30,13,20,15,24
"11",9,27,30,13,19,18,8,12,28,14,28,25,27,15,29,9,8
"12",19,22,21,28,29,21,16,27,24,22,20,18,2,29,10,14,3
"13",8,29,7,4,13,27,14,25,22,8,5,4,15,8,13,24,9
"14",6,8,26,21,24,29,5,5,21,17,7,11,17,26,6,18,22
"15",24,11,12,26,12,26,26,6,26,25,14,22,25,7,11,3,13
"16",15,12,20,8,30,2,28,8,25,6,25,7,14,10,18,28,20
"17",2,14,3,17,6,20,30,10,17,15,13,27,7,16,1,30,4
"18",26,10,6,12,10,9,2,23,27,7,17,21,5,27,21,16,25
"19",27,7,5,14,23,10,23,24,7,19,24,10,28,9,5,17,7
"20",16,26,19,19,9,1,6,29,2,20,11,26,16,6,4,10,21
"21",30,15,17,1,15,25,9,16,18,29,30,6,10,14,2,7,27
"22",25,25,27,11,26,30,29,22,3,28,16,16,18,17,22,25,17
"23",23,3,29,7,8,14,13,4,4,12,12,2,3,19,9,12,11
"24",21,24,16,10,1,17,20,14,30,1,2,17,29,22,3,20,19
"25",3,20,11,6,27,5,3,18,12,4,15,15,24,18,7,2,5
"26",4,2,15,18,21,16,19,30,29,16,18,1,8,1,24,1,15
"27",20,18,1,3,25,13,17,3,20,18,9,28,20,5,25,13,30
"28",5,9,18,2,14,4,21,17,6,24,8,23,13,30,30,19,10
"29",14,5,4,29,28,24,11,15,5,5,4,24,9,12,19,8,18
"30",13,21,10,9,2,23,4,7,9,21,21,13,1,3,27,21,14
