"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,2,4,1,5,1,4,5,3,5,2
"2",2,4,4,5,1,2,3,1,5,4,2
"3",1,3,3,2,1,3,5,2,1,5,4
"4",4,3,1,3,1,1,4,4,5,1,4
"5",2,2,1,2,5,3,4,2,4,1,2
"6",1,3,1,5,5,4,3,4,3,4,5
"7",5,5,4,3,2,3,3,5,2,5,5
"8",5,2,1,3,3,5,5,1,2,4,2
"9",1,1,5,3,2,1,3,1,3,1,3
"10",4,5,2,4,4,2,5,2,4,5,3
"11",1,5,2,1,4,4,2,1,2,3,3
"12",1,4,2,4,3,1,4,5,1,2,2
"13",3,1,4,5,4,2,5,3,2,1,5
"14",4,1,4,2,3,4,2,2,5,5,4
"15",2,5,5,4,5,5,4,3,5,2,4
"16",5,2,3,5,4,1,2,4,5,3,2
"17",5,4,1,5,2,3,2,2,3,2,4
"18",5,1,2,1,1,2,3,3,2,2,1
"19",5,3,5,1,3,2,4,1,4,3,5
"20",4,3,4,4,5,3,1,1,1,3,1
"21",2,5,5,2,1,2,1,5,3,3,4
"22",4,4,5,2,4,3,5,4,3,2,1
"23",4,1,2,2,4,5,3,5,1,3,4
"24",2,3,4,1,2,4,2,4,1,1,2
"25",1,2,3,1,3,3,1,3,5,2,5
"26",3,4,2,1,2,5,5,4,5,4,3
"27",3,5,1,2,2,1,1,3,4,4,1
"28",3,5,3,5,3,5,3,2,2,1,1
"29",4,2,5,5,1,4,4,3,1,4,3
"30",2,1,1,4,3,2,1,4,2,5,3
"31",3,4,3,3,5,1,2,2,1,4,5
"32",1,3,5,3,4,5,2,3,4,5,1
"33",3,2,2,4,1,5,1,1,3,2,5
"34",5,4,3,3,5,4,1,5,4,1,3
"35",2,1,3,4,2,4,5,5,4,3,1
