"","V1","V2","V3","V4","V5"
"1",6,12,21,1,2
"2",25,28,22,13,19
"3",5,24,11,10,15
"4",7,27,15,27,29
"5",3,21,26,15,6
"6",28,22,7,17,25
"7",14,19,10,20,1
"8",10,29,6,7,7
"9",29,2,27,28,14
"10",27,18,16,4,10
"11",17,1,14,16,5
"12",9,17,24,23,16
"13",18,20,18,8,21
"14",22,4,9,2,17
"15",20,10,25,11,28
"16",1,9,17,18,18
"17",4,7,8,25,9
"18",12,13,13,12,13
"19",8,3,1,14,22
"20",13,25,28,3,24
"21",19,26,2,22,12
"22",11,5,20,21,26
"23",21,23,19,26,4
"24",24,11,12,24,23
"25",15,6,23,6,11
"26",23,14,29,19,8
"27",16,15,5,29,20
"28",26,8,4,9,3
"29",2,16,3,5,27
