"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",13,8,20,3,17,4,12,5,18,17,15,9,2,2
"2",19,12,23,5,22,10,10,21,9,2,19,22,21,10
"3",5,22,10,22,8,3,15,17,12,4,12,7,22,1
"4",15,16,6,12,1,8,4,9,1,3,16,4,1,22
"5",9,19,18,7,9,13,8,6,17,5,9,18,13,18
"6",6,5,4,4,15,21,13,16,6,7,18,11,10,19
"7",17,17,3,17,6,14,11,18,21,18,17,16,11,5
"8",4,15,8,9,20,5,5,19,15,15,5,14,6,13
"9",1,2,22,11,2,12,20,14,20,1,2,10,7,7
"10",2,7,11,14,16,17,1,12,19,22,14,23,20,23
"11",7,20,12,13,21,16,18,2,4,10,22,19,4,4
"12",16,9,14,23,3,22,14,23,14,12,6,20,3,21
"13",8,11,5,2,5,2,22,10,3,20,8,21,14,9
"14",20,3,9,10,7,7,19,4,13,14,20,15,19,17
"15",22,6,16,19,13,6,3,11,7,8,11,17,8,6
"16",11,13,17,16,14,1,23,22,22,9,23,1,12,16
"17",10,1,2,21,23,11,9,1,11,23,10,2,9,15
"18",23,23,1,1,12,23,2,3,23,11,1,12,23,12
"19",14,21,21,18,18,9,16,13,5,19,3,13,17,20
"20",21,18,15,6,11,18,21,15,10,21,13,5,5,14
"21",12,4,13,8,10,15,7,20,2,13,4,3,18,3
"22",3,14,19,20,4,20,6,7,8,16,21,8,16,11
"23",18,10,7,15,19,19,17,8,16,6,7,6,15,8
