"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",13,13,17,20,21,16,21,9,3,16,6,16,17
"2",12,4,1,5,5,14,23,5,21,19,20,17,9
"3",9,3,20,13,15,4,14,6,17,12,11,7,16
"4",8,19,3,22,3,13,9,11,15,15,8,6,3
"5",15,20,11,6,13,6,12,8,5,8,15,18,4
"6",23,10,19,21,14,17,11,20,18,10,22,22,6
"7",1,1,15,9,1,22,16,23,2,13,14,12,1
"8",4,9,18,3,6,8,10,13,8,22,9,21,20
"9",7,15,21,8,9,20,6,4,11,4,3,13,8
"10",18,7,10,16,8,5,18,19,10,18,4,11,7
"11",20,21,22,15,2,10,19,14,16,3,16,14,18
"12",6,17,6,14,17,21,15,15,12,20,18,20,13
"13",5,6,9,19,22,1,2,12,22,1,12,15,5
"14",17,23,12,18,10,23,13,7,23,23,1,1,23
"15",2,12,7,23,12,7,20,2,9,6,21,9,22
"16",14,2,4,10,19,12,8,22,14,5,2,19,21
"17",22,16,5,12,4,3,1,1,1,11,7,23,14
"18",21,8,2,2,16,19,17,10,6,2,10,5,11
"19",10,5,13,17,7,15,5,16,4,7,19,3,15
"20",19,11,16,11,20,11,4,3,13,21,17,4,2
"21",11,22,23,1,23,2,7,21,7,17,23,8,12
"22",16,14,8,4,11,18,3,18,19,14,13,10,19
"23",3,18,14,7,18,9,22,17,20,9,5,2,10
