"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",17,10,2,22,15,10,2,3,13,1,18,21,10,1,15,7,8,8
"2",10,4,3,20,10,8,20,18,4,7,11,9,6,21,10,18,5,18
"3",14,15,18,17,6,4,5,7,3,11,16,10,19,6,11,2,21,21
"4",7,17,23,21,17,14,18,15,17,22,7,3,14,3,8,6,14,17
"5",5,16,6,6,18,6,10,5,7,5,6,5,3,8,17,15,18,11
"6",23,22,12,18,14,12,19,11,11,6,2,22,22,16,22,12,22,23
"7",13,23,9,1,23,23,14,1,1,23,13,12,23,23,13,11,10,13
"8",4,7,21,12,11,20,1,2,22,4,10,11,17,14,23,22,13,16
"9",15,5,20,9,13,16,16,6,6,17,9,20,5,19,3,4,19,9
"10",1,9,10,23,1,1,9,13,2,18,1,23,12,11,2,23,12,12
"11",22,6,13,15,20,3,8,19,21,15,15,4,9,20,19,8,17,14
"12",6,2,14,8,8,2,15,21,14,3,14,17,21,2,6,13,16,5
"13",3,20,22,19,5,19,13,20,9,13,17,16,4,9,20,10,4,10
"14",12,12,11,2,12,13,12,23,23,2,22,1,1,12,1,3,1,22
"15",18,18,5,13,2,15,4,22,8,8,8,6,16,17,4,9,11,3
"16",21,21,7,10,4,11,21,4,19,14,20,13,7,5,5,20,15,15
"17",20,8,17,4,21,21,6,14,10,9,5,15,8,4,7,14,6,20
"18",2,1,1,11,22,22,23,12,12,12,23,7,11,13,12,1,23,1
"19",11,19,15,14,19,5,3,10,16,21,12,18,2,15,9,21,2,2
"20",8,13,16,3,3,7,22,9,20,10,3,14,13,22,18,5,7,6
"21",9,14,4,5,7,17,7,16,15,19,19,19,15,18,16,16,20,19
"22",16,3,8,16,9,18,11,8,18,16,4,2,20,7,14,17,3,7
"23",19,11,19,7,16,9,17,17,5,20,21,8,18,10,21,19,9,4
