"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",21,23,14,12,22,25,27,27,1,17,10,2,2,8,18,13,20,22,13,28,18,24
"2",13,19,12,17,11,2,28,16,28,13,2,14,28,16,29,2,16,19,2,3,28,2
"3",18,10,6,3,23,17,22,12,22,27,12,16,22,23,11,5,24,26,25,6,10,26
"4",24,3,11,26,17,6,10,25,9,8,8,23,24,18,23,25,27,17,12,11,8,22
"5",23,28,7,25,7,13,19,11,10,25,7,6,20,5,26,11,6,12,24,20,26,16
"6",1,29,1,2,15,14,1,26,15,2,29,10,29,15,15,15,2,29,16,1,17,15
"7",20,20,4,10,14,24,7,2,20,16,24,17,18,19,24,26,26,5,21,27,22,5
"8",10,25,9,8,8,27,9,7,3,5,3,24,10,26,4,12,17,18,23,10,13,13
"9",11,16,2,11,4,9,29,28,17,29,20,28,14,29,25,17,13,14,10,17,1,28
"10",12,26,22,5,19,3,8,8,25,23,13,3,26,14,2,22,14,8,14,21,5,21
"11",3,22,13,20,18,20,18,6,21,10,18,22,5,4,22,3,5,3,17,8,3,23
"12",6,14,23,18,28,12,4,4,6,6,16,13,12,13,28,19,22,27,28,18,27,25
"13",2,27,19,24,3,18,12,19,24,24,11,21,4,22,12,18,28,24,11,16,24,4
"14",22,17,21,23,13,7,6,21,8,20,23,12,3,24,5,6,11,9,20,4,19,27
"15",7,21,5,16,24,5,14,17,5,26,27,8,9,3,13,28,25,11,4,9,11,11
"16",16,5,18,27,5,23,3,3,19,22,26,4,13,12,20,9,19,20,5,5,7,14
"17",25,6,8,14,10,11,16,5,27,9,19,7,6,25,10,23,7,25,3,25,16,20
"18",4,8,25,4,9,10,24,18,11,12,6,9,7,21,21,10,23,6,18,26,6,10
"19",28,4,28,1,20,15,11,14,29,15,28,29,1,2,27,14,15,15,27,15,14,1
"20",9,9,3,22,25,16,5,22,23,11,5,27,17,7,7,7,18,7,7,24,20,18
"21",19,24,26,21,26,4,21,9,13,3,25,25,19,20,17,8,10,23,9,22,12,7
"22",5,7,10,19,12,22,20,24,7,21,22,18,27,9,6,21,12,21,26,23,4,6
"23",27,18,24,6,6,21,25,13,12,7,21,20,25,6,9,20,21,10,6,7,23,19
"24",8,11,20,28,21,26,26,20,26,4,17,5,21,27,19,27,9,13,22,12,21,12
"25",15,15,29,29,1,29,15,15,14,14,1,15,15,1,1,29,1,28,15,29,9,29
"26",14,2,17,9,27,8,23,1,16,19,9,26,8,10,8,24,3,16,19,2,25,9
"27",29,13,15,15,2,1,17,29,18,1,14,1,16,11,3,4,29,2,29,14,15,8
"28",17,1,27,7,16,28,13,23,2,28,15,19,11,17,16,1,8,1,1,19,29,17
"29",26,12,16,13,29,19,2,10,4,18,4,11,23,28,14,16,4,4,8,13,2,3
