"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",17,23,20,1,15,21,22,9
"2",10,8,19,8,2,3,10,4
"3",4,13,11,15,4,8,21,12
"4",16,15,12,9,16,15,9,14
"5",20,20,17,18,10,2,17,15
"6",5,1,6,13,17,1,7,23
"7",1,21,14,6,22,7,5,7
"8",12,12,2,2,20,4,13,16
"9",6,14,18,19,19,17,1,2
"10",13,2,15,14,7,18,14,6
"11",19,3,4,7,1,16,23,18
"12",18,9,5,16,13,9,4,8
"13",2,4,21,20,12,10,11,17
"14",14,17,22,11,6,6,2,20
"15",8,10,16,5,14,12,19,21
"16",22,18,7,4,8,11,12,1
"17",3,16,3,10,11,23,18,5
"18",23,7,23,12,21,14,16,11
"19",9,22,1,21,5,13,8,10
"20",15,5,10,22,18,5,20,3
"21",21,11,13,23,3,22,6,22
"22",7,6,9,3,9,20,3,13
"23",11,19,8,17,23,19,15,19
