"","V1","V2","V3","V4","V5","V6","V7"
"1",25,16,25,20,3,5,14
"2",7,24,3,17,16,12,15
"3",17,12,26,12,15,16,22
"4",23,6,20,10,6,13,4
"5",1,25,16,13,5,1,10
"6",14,21,19,18,20,4,26
"7",19,13,4,5,25,2,11
"8",16,22,6,23,2,23,5
"9",15,1,15,6,1,11,19
"10",8,5,11,26,7,3,23
"11",26,20,10,2,14,15,9
"12",21,26,22,27,23,18,1
"13",18,10,14,22,17,9,7
"14",11,8,5,15,10,6,2
"15",2,17,8,21,24,14,21
"16",13,4,9,11,22,20,13
"17",3,2,24,19,13,22,8
"18",20,18,12,14,8,21,17
"19",6,15,13,7,18,26,3
"20",4,11,2,3,4,19,27
"21",5,7,21,1,21,7,16
"22",10,14,18,25,11,17,12
"23",22,27,7,8,12,8,25
"24",9,19,27,9,27,10,6
"25",27,9,17,16,26,24,24
"26",24,3,1,24,19,27,18
"27",12,23,23,4,9,25,20
