"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",17,13,6,15,8,13,6,16,15,4,6,13,6,15,12,15,17
"2",12,2,10,18,2,5,3,2,3,18,8,9,13,12,15,13,13
"3",4,8,3,12,6,17,7,3,7,5,4,4,18,6,6,11,8
"4",18,18,9,8,17,2,19,12,6,2,3,10,16,8,9,4,14
"5",1,1,2,1,10,11,9,11,1,9,19,11,12,14,2,5,19
"6",2,14,17,17,7,4,18,14,11,11,15,7,14,16,7,14,6
"7",3,4,16,13,13,6,12,5,9,3,14,14,3,2,13,8,15
"8",19,9,1,10,19,1,10,1,10,10,10,19,10,19,19,19,2
"9",8,19,11,11,11,19,13,9,16,19,12,2,19,18,17,10,18
"10",6,6,7,7,15,8,17,6,14,15,5,6,5,13,3,18,12
"11",16,12,14,6,4,16,15,7,4,13,13,16,11,5,5,16,16
"12",9,16,18,4,12,7,8,17,2,8,1,3,9,3,16,17,10
"13",14,7,5,16,14,14,14,15,5,16,16,5,8,7,14,6,4
"14",11,3,15,9,9,18,1,13,8,14,2,18,4,17,10,2,7
"15",15,10,19,19,1,10,11,10,19,1,9,1,1,10,1,1,9
"16",5,15,4,5,5,3,5,8,17,17,11,12,7,4,11,3,5
"17",7,5,12,3,3,12,16,18,13,6,7,15,15,9,18,7,3
"18",10,11,8,14,18,9,2,19,18,12,18,17,17,1,4,9,11
"19",13,17,13,2,16,15,4,4,12,7,17,8,2,11,8,12,1
