"","V1","V2","V3","V4","V5","V6"
"1",21,23,24,2,29,13
"2",1,15,14,14,28,7
"3",25,1,18,8,9,8
"4",24,11,26,11,25,24
"5",28,30,29,22,22,3
"6",30,22,20,19,13,22
"7",15,9,11,20,5,11
"8",3,2,5,23,15,14
"9",26,8,15,27,16,27
"10",16,14,30,6,14,16
"11",13,17,6,1,12,25
"12",20,16,23,24,7,30
"13",4,20,27,28,19,9
"14",29,6,2,4,24,10
"15",22,13,7,16,18,4
"16",23,26,1,29,4,18
"17",5,7,25,17,10,19
"18",9,21,3,10,8,2
"19",2,29,16,5,6,23
"20",19,4,12,9,20,20
"21",11,3,28,15,1,28
"22",27,19,9,13,2,15
"23",18,25,13,25,11,6
"24",14,5,19,30,26,1
"25",6,24,10,7,21,29
"26",10,18,17,21,23,17
"27",8,12,8,26,30,21
"28",17,28,4,18,27,26
"29",12,27,22,12,17,12
"30",7,10,21,3,3,5
