"","V1","V2","V3","V4","V5"
"1",27,19,29,16,28
"2",12,26,15,17,12
"3",8,30,19,24,29
"4",4,22,26,19,3
"5",10,4,25,1,24
"6",22,15,1,25,23
"7",3,9,16,10,26
"8",11,10,2,15,6
"9",14,7,28,23,20
"10",5,3,11,26,8
"11",26,11,12,20,19
"12",15,24,22,7,22
"13",30,1,23,12,5
"14",16,2,5,18,27
"15",23,29,27,9,15
"16",17,17,24,27,11
"17",20,5,18,14,17
"18",28,6,7,6,13
"19",29,25,14,28,25
"20",13,16,13,8,2
"21",9,21,6,29,16
"22",19,28,8,22,4
"23",21,20,17,2,7
"24",1,14,21,21,14
"25",24,8,20,30,1
"26",25,23,4,11,9
"27",7,12,30,5,10
"28",18,13,10,4,30
"29",2,27,3,3,18
"30",6,18,9,13,21
