"","V1","V2","V3"
"1",14,25,12
"2",1,9,6
"3",25,11,11
"4",9,20,15
"5",17,28,20
"6",11,22,23
"7",21,19,24
"8",19,21,2
"9",16,16,5
"10",18,8,16
"11",10,7,1
"12",5,12,21
"13",26,26,27
"14",24,23,7
"15",13,3,18
"16",28,17,19
"17",23,6,22
"18",6,27,4
"19",3,2,25
"20",27,4,3
"21",22,14,14
"22",15,10,26
"23",8,15,28
"24",20,1,9
"25",12,13,8
"26",7,5,13
"27",2,24,17
"28",4,18,10
