"","V1","V2","V3","V4","V5","V6","V7"
"1",25,10,5,16,10,13,22
"2",21,20,4,7,22,24,1
"3",6,14,3,23,8,4,5
"4",28,9,19,13,13,26,4
"5",13,2,16,5,9,16,6
"6",23,18,18,22,20,18,13
"7",3,5,27,20,3,21,16
"8",7,28,11,15,26,20,7
"9",2,4,7,12,19,8,11
"10",26,16,28,3,28,9,8
"11",19,24,15,19,2,10,3
"12",1,22,13,25,12,14,26
"13",15,21,26,17,16,2,9
"14",17,13,23,11,25,15,17
"15",22,6,12,8,4,1,14
"16",11,17,20,14,5,6,27
"17",20,1,21,24,15,7,21
"18",9,7,24,27,21,12,2
"19",24,27,25,10,7,22,24
"20",4,11,17,6,23,3,23
"21",10,15,14,18,18,25,19
"22",27,26,9,28,24,5,18
"23",12,25,2,9,14,11,15
"24",5,23,22,1,11,27,12
"25",8,19,6,4,1,17,20
"26",14,3,1,21,27,28,25
"27",18,8,10,2,17,19,28
"28",16,12,8,26,6,23,10
